"Icon","Title","Description","Description (Lv 1)","Description (Lv 2)","Description (Lv 3)","Description (Lv 4)","Description (Lv 5)","Description (Lv 6)","Description (Lv 7)","Other Info","Obtained From","Max Level","Ingredients"
"","Critical Element","","Slightly increases elemental damage while active.","Increases elemental damage while active.","Greatly increases elemental damage while active.","","","","","","A Ableben Abzug Heavy Bowgun Alabaster Rathmaul Insect Glaive Albirath Blade I Charge Blade Albirath Blade II Charge Blade Albirath Blaze Splitter Switch Axe Albirath Bludgeon I Hammer Albirath Bludgeon II Hammer Albirath Bow I Bow Albirath Bow II Bow Albirath Edge I Sword and Shield Albirath Edge II Sword and Shield Albirath Feroce I Hunting Horn Albirath Feroce II Hunting Horn Albirath Flamesplitter I Switch Axe Albirath Flamesplitter II Switch Axe Albirath Rook I Gunlance Albirath Rook II Gunlance Albirath Tail I Lance Albirath Tail II Lance Albirath Wing I Great Sword Albirath Wing II Great Sword B Blinding Fulgur I Bow C Crashing Fulgur I Hammer Crit Elem Jwl III [3] Weapon Decorations Crit Elem/Blaze Jwl [3] Weapon Decorations Crit Elem/Bolt Jwl [3] Weapon Decorations Crit Elem/Dragon Jwl [3] Weapon Decorations Crit Elem/Frost Jwl [3] Weapon Decorations Crit Elem/Handicraft Jwl [3] Weapon Decorations Crit Elem/Ironwall Jwl [3] Weapon Decorations Crit Elem/KO Jewel [3] Weapon Decorations Crit Elem/Stream Jwl [3] Weapon Decorations Crit Element Jewel II [2] Weapon Decorations Crit Element Jewel [1] Weapon Decorations Crit Element/Precise Jwl [3] Weapon Decorations D Deafening Fulgur I Hunting Horn Düsterstolz Great Sword E Eiferschild I Lance Eisengeist Switch Axe Eisenleib I Switch Axe Elendskraft I Charge Blade Entbehrung I Bow F Fäulnisschleuder I Light Bowgun Felling Fulgur I Light Bowgun Fieberschild Lance Fledderklauen I Dual Blades Fulgurblade Guardiana Long Sword Fulgurblast Guardiana Heavy Bowgun Fulgurbow Guardiana Bow Fulgurcannon Guardiana Gunlance Fulgurcleaver Guardiana Great Sword Fulgurglaive Guardiana Insect Glaive Fulgurhammer Guardiana Hammer Fulgurhowl Guardiana Hunting Horn Fulgursnipe Guardiana Light Bowgun Fulgurswitch Guardiana Switch Axe Fulgursword Guardiana Sword and Shield Fulgurtwins Guardiana Dual Blades G G. Rathalos Feroce Hunting Horn G. Rathling Gun I Light Bowgun G. Rathling Gun II Light Bowgun Gibil Hammer Hammer Gnashing Fulgur I Long Sword Gramklang Hunting Horn Grimmblick Hammer Grounding Fulgur I Heavy Bowgun Guardian Albathos Charge Blade Guardian Rathmaul I Insect Glaive Guardian Rathmaul II Insect Glaive H Hungerklauen Dual Blades J Jäger-Ankh Sword and Shield K Kummerklang I Hunting Horn L Leidenskraft Charge Blade Leumundsgift Insect Glaive Leumundslist Insect Glaive M Melting Point Sword and Shield Morphing Fulgur I Switch Axe R Rending Fulgur I Sword and Shield Rising Fulgur I Insect Glaive S Schattenstolz I Great Sword Shining Pillar Lance Shining Rook Gunlance Smiting Fulgur I Great Sword Solar Spicule Bow Stahlfakt I Long Sword Stahlrecht Long Sword Sucher-Ankh I Sword and Shield T Tödlicher Abzug I Heavy Bowgun Twin Albiraths I Dual Blades Twin Albiraths II Dual Blades Tyrannenarm I Gunlance V Verräterarm Gunlance Verzweiflung Bow W Wahnschleuder Light Bowgun Warring Fulgur I Gunlance Whirling Fulgur I Dual Blades White Rathling Phoenix Light Bowgun Whitefire Rathguard Great Sword Wuchtblick I Hammer Wyvern Blade ""Ash"" I Long Sword Wyvern Blade ""Ash"" II Long Sword Wyvern Blade ""Lily"" Long Sword Wyvern Sentinels Dual Blades","3",""
"","Critical Eye","","Affinity +4%","Affinity +8%","Affinity +12%","Affinity +16%","Affinity +20%","","","","E Esperanza Axe Switch Axe Esperanza Blade Great Sword Esperanza Bow Bow Esperanza Cannon Heavy Bowgun Esperanza Daggers Dual Blades Esperanza Edge Long Sword Esperanza Glaive Insect Glaive Esperanza Gunlance Gunlance Esperanza Hammer Hammer Esperanza Horn Hunting Horn Esperanza Lance Lance Esperanza Rifle Light Bowgun Esperanza Strongarm Charge Blade Esperanza Sword Sword and Shield Expert Jewel II [2] Weapon Decorations Expert Jewel III [3] Weapon Decorations Expert Jewel [1] Weapon Decorations H Hope Axe III Switch Axe Hope Axe IV Switch Axe Hope Axe V Switch Axe Hope Blade III Great Sword Hope Blade IV Great Sword Hope Blade V Great Sword Hope Bow III Bow Hope Bow IV Bow Hope Bow V Bow Hope Cannon III Heavy Bowgun Hope Cannon IV Heavy Bowgun Hope Cannon V Heavy Bowgun Hope Daggers III Dual Blades Hope Daggers IV Dual Blades Hope Daggers V Dual Blades Hope Edge III Long Sword Hope Edge IV Long Sword Hope Edge V Long Sword Hope Glaive III Insect Glaive Hope Glaive IV Insect Glaive Hope Glaive V Insect Glaive Hope Gunlance III Gunlance Hope Gunlance IV Gunlance Hope Gunlance V Gunlance Hope Hammer III Hammer Hope Hammer IV Hammer Hope Hammer V Hammer Hope Horn III Hunting Horn Hope Horn IV Hunting Horn Hope Horn V Hunting Horn Hope Lance III Lance Hope Lance IV Lance Hope Lance V Lance Hope Rifle III Light Bowgun Hope Rifle IV Light Bowgun Hope Rifle V Light Bowgun Hope Strongarm III Charge Blade Hope Strongarm IV Charge Blade Hope Strongarm V Charge Blade Hope Sword III Sword and Shield Hope Sword IV Sword and Shield Hope Sword V Sword and Shield","5",""
"","Critical Status","","Slightly increases abnormal status effects when landing critical…","Increases abnormal status effects when landing critical hits.…","Greatly increases abnormal status effects when landing critical…","","","","","","B Barina Bouclier II Charge Blade Barina Bouclier III Charge Blade Barina Bouclier IV Charge Blade Barina Dague II Sword and Shield Barina Dague III Sword and Shield Barina Dague IV Sword and Shield Barina Faucilles II Dual Blades Barina Faucilles III Dual Blades Barina Faucilles IV Dual Blades Barina Flamberge II Long Sword Barina Flamberge III Long Sword Barina Flamberge IV Long Sword Barina Hache II Switch Axe Barina Hache III Switch Axe Barina Hache IV Switch Axe Barina Perche II Insect Glaive Barina Perche III Insect Glaive Barina Perche IV Insect Glaive Barina Sarissa II Lance Barina Sarissa III Lance Barina Sarissa IV Lance C Crit Stat Jwl III [3] Weapon Decorations Crit Stat/Handicraft Jwl [3] Weapon Decorations Crit Stat/Ironwall Jwl [3] Weapon Decorations Crit Stat/Precise Jwl [3] Weapon Decorations Crit Status Jewel II [2] Weapon Decorations Crit Status Jewel [1] Weapon Decorations Crit Status/KO Jwl [3] Weapon Decorations D Dear Lutemia Charge Blade Dear Lutemis I Charge Blade Dear Lutemis II Charge Blade Dragonmaiden Axe I Switch Axe Dragonmaiden Axe II Switch Axe G Gríðr's Landmaker Switch Axe L Lala Acanthopelm Sword and Shield Lala Aviculari Lance Lala Eumenophor Charge Blade Lala Harpactirs Dual Blades Lala Ornithocton Long Sword Lala Selenocosmi Switch Axe Lala Stromatopelm Insect Glaive O Ortlinde Gunlance P Princess Panoply I Gunlance Princess Panoply II Gunlance Princess Rapier I Sword and Shield Princess Rapier II Sword and Shield Princess Regalia I Insect Glaive Princess Regalia II Insect Glaive Q Queen Chordmaker Hunting Horn Queen Rapier Sword and Shield Queen Regalia Insect Glaive S Shell Gunberd I Gunlance Shell Gunberd II Gunlance Shell Gunberd III Gunlance Sieglinde Great Sword Solid Gunberd Gunlance V Valkyrie Blade I Great Sword Valkyrie Blade II Great Sword Valkyrie Chordmaker I Hunting Horn Valkyrie Chordmaker II Hunting Horn W Wyvern Blade ""Holly"" Long Sword Wyvern Blade ""Verde"" I Long Sword Wyvern Blade ""Verde"" II Long Sword","3",""
"","Defender Meal (Hi)","Food Skills in Monster Hunter Wilds can apply a wide variety…","Often decreases damage taken.","","","","","","","","","","Sharp Kunafa Cheese Ingredients"
"","Defender Meal (Lo)","Food Skills in Monster Hunter Wilds can apply a wide variety…","Sometimes decreases damage taken.","","","","","","","","","","Kunafa Cheese Ingredients"
,,,,,,,,,,,,,
"","Defense Boost","","Defense +5","Defense +10","Defense +5% Bonus: +10","Defense +5% Bonus: +20 All elemental resistances +3","Defense +8% Bonus: +20 All elemental resistances +3","Defense +8% Bonus: +35 All elemental resistances +5","Defense +10% Bonus: +35 All elemental resistances +5","","Defense Charm I Level 1 Defense Charm II Level 2 Defense Charm III Level 3 Defense Charm IV Level 4 Defense Jewel [1] Armor Decorations","7",""
"","Divine Blessing","","While active, reduces damage taken by 15%.","While active, reduces damage taken by 30%.","While active, reduces damage taken by 50%.","","","","","25% chance of activating when hit","Blessing Charm I Level 1 Blessing Charm II Level 2 Blessing Charm III Level 3 Commission Mail α Chest Commission α Armor Sets Damascus Helm α Head Damascus Vambraces α Arms Damascus α Armor Sets G. Ebony Braces α Arms G. Ebony Braces β Arms G. Ebony Greaves α Legs G. Ebony Greaves β Legs Guardian Ebony α Armor Sets Guardian Ebony β Armor Sets Hope Armor Sets Hope Coil α Waist Hope Greaves Legs Hope Mail Chest Hope Mask α Head Hope Vambraces Arms Hope α Armor Sets Ingot Armor Sets Ingot Coil Waist Ingot Coil α Waist Ingot Helm Head Ingot Helm α Head Ingot α Armor Sets Protection Jewel [1] Armor Decorations Rathian Helm α Head Rathian Helm β Head Rathian Vambraces α Arms Rathian Vambraces β Arms Rathian α Armor Sets Rathian β Armor Sets Suja Sash α Waist Suja α Armor Sets","3",""
"","Doshaguma's Might","","Temporarily grants attack +10 after a successful Power Clash…","Temporarily grants attack +25 after a successful Power Clash…","","","","","","","Doshaguma Armor Sets Doshaguma Braces Arms Doshaguma Braces α Arms Doshaguma Braces β Arms Doshaguma Coil Waist Doshaguma Coil α Waist Doshaguma Coil β Waist Doshaguma Greaves Legs Doshaguma Greaves α Legs Doshaguma Greaves β Legs Doshaguma Helm Head Doshaguma Helm α Head Doshaguma Helm β Head Doshaguma Mail Chest Doshaguma Mail α Chest Doshaguma Mail β Chest Doshaguma α Armor Sets Doshaguma β Armor Sets G. Doshaguma Braces Arms G. Doshaguma Braces α Arms G. Doshaguma Braces β Arms G. Doshaguma Coil Waist G. Doshaguma Coil α Waist G. Doshaguma Coil β Waist G. Doshaguma Greaves Legs G. Doshaguma Greaves α Legs G. Doshaguma Greaves β Legs G. Doshaguma Helm Head G. Doshaguma Helm α Head G. Doshaguma Helm β Head G. Doshaguma Mail Chest G. Doshaguma Mail α Chest G. Doshaguma Mail β Chest Guardian Doshaguma Armor Sets Guardian Doshaguma α Armor Sets Guardian Doshaguma β Armor Sets","2",""
"","Dragon Attack","","Dragon attack +40","Dragon attack +10% Bonus: +50","Dragon attack +20% Bonus: +60","","","","","","Dragon Jewel II [2] Weapon Decorations Dragon Jewel III [3] Weapon Decorations Dragon Jewel [1] Weapon Decorations Dragon/Bandolier Jwl [3] Weapon Decorations Dragon/Crit Elem Jwl [3] Weapon Decorations Dragon/Enhancer Jwl [3] Weapon Decorations Dragon/Focus Jewel [3] Weapon Decorations Dragon/Guardian Jwl [3] Weapon Decorations Dragon/Handicraft Jwl [3] Weapon Decorations Dragon/Ironwall Jwl [3] Weapon Decorations Dragon/KO Jewel [3] Weapon Decorations Dragon/Opener Jewel [3] Weapon Decorations Dragon/Precise Jewel [3] Weapon Decorations Dragon/Quickswitch Jwl [3] Weapon Decorations Dragon/Rzr Sharp Jwl [3] Weapon Decorations Dragon/Shield Jewel [3] Weapon Decorations","3",""
"","Dragon Resistance","","Dragon resistance +6","Dragon resistance +12","Dragon resistance +20 Defense +10","","","","","","Dragon Charm I Level 1 Dragon Charm II Level 2 Dragon Charm III Level 3 Dragon Res Jewel [1] Armor Decorations","3",""
"","Earplugs","","Reduces the effects of weak monster roars.","Nullifies weak monster roars and reduces the effects of strong…","Nullifies weak and strong monster roars.","","","","","","Artian Helm α Head Artian α Armor Sets Commission Greaves α Legs Commission α Armor Sets Duna Wildhelm α Head Duna Wildhelm β Head Earplugs Charm I Level 1 Earplugs Jewel [2] Armor Decorations G. Ebony Greaves α Legs G. Ebony Greaves β Legs G. Ebony Helm α Head G. Ebony Mail α Chest G. Ebony Mail β Chest G. Seikret Coil α Waist G. Seikret Coil β Waist Guardian Ebony α Armor Sets Guardian Ebony β Armor Sets Guardian Seikret α Armor Sets Guardian Seikret β Armor Sets Rompopolo Greaves α Legs Rompopolo Vambraces α Arms Rompopolo Vambraces β Arms Rompopolo α Armor Sets Rompopolo β Armor Sets Uth Duna α Armor Sets Uth Duna β Armor Sets Xu Wu Coil α Waist Xu Wu Coil β Waist Xu Wu Vambraces α Arms Xu Wu Vambraces β Arms Xu Wu α Armor Sets Xu Wu β Armor Sets","3",""
"","Ebony Odogaron's Power","","Extends the duration of the Burst skill and grants attack +3…","Further extends the duration of the Burst skill and grants attack…","","","","","","","G. Ebony Braces Arms G. Ebony Braces α Arms G. Ebony Braces β Arms G. Ebony Coil Waist G. Ebony Coil α Waist G. Ebony Coil β Waist G. Ebony Greaves Legs G. Ebony Greaves α Legs G. Ebony Greaves β Legs G. Ebony Helm Head G. Ebony Helm α Head G. Ebony Helm β Head G. Ebony Mail Chest G. Ebony Mail α Chest G. Ebony Mail β Chest Guardian Ebony Armor Sets Guardian Ebony α Armor Sets Guardian Ebony β Armor Sets","2",""
"","Elemental Absorption","","While active, slightly increases elemental attack, and resistance…","While active, moderately increases elemental attack, and resistance…","While active, increases elemental attack, and resistance to element…","","","","","","Arkveld α Armor Sets Arkvulcan Helm α Head Arkvulcan Mail α Chest G. Arkveld Coil α Waist G. Arkveld Greaves α Legs G. Arkveld Greaves β Legs Guardian Arkveld α Armor Sets Guardian Arkveld β Armor Sets Imbibe Charm I Level 1","3",""
"","Entomologist","","Activates skill effect.","","","","","","","","Bulaqchi Armor Sets Bulaqchi Specs Head Bulaqchi Specs α Head Bulaqchi Specs β Head Bulaqchi α Armor Sets Bulaqchi β Armor Sets Mimiphyta α Armor Sets Mimiphyta α Head Specimen Jewel [1] Armor Decorations","1",""
"","Escape Artist Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","","","","","","","","","","",""
"","Evade Extender","","Slightly extends evasion distance.","Extends evasion distance.","Greatly extends evasion distance.","","","","","","Balahara Armor Sets Balahara Coil Waist Balahara Coil α Waist Balahara Greaves Legs Balahara Greaves α Legs Balahara Greaves β Legs Balahara Vambraces Arms Balahara Vambraces α Arms Balahara Vambraces β Arms Balahara α Armor Sets Balahara β Armor Sets Butterfly Elytra α Waist Butterfly Thorax α Chest Butterfly Vertex α Head Butterfly α Armor Sets Hirabami Headdress α Head Hirabami α Armor Sets Jumping Jewel [2] Armor Decorations Leaping Charm I Level 1 Leaping Charm II Level 2 Leaping Charm III Level 3 Quematrice Greaves α Legs Quematrice α Armor Sets Rey Dau α Armor Sets Rey Dau β Armor Sets Rey Sandhelm α Head Rey Sandhelm β Head","3",""
"","Evade Window","","Very slightly increases invulnerability window.","Slightly increases invulnerability window.","Increases invulnerability window.","Greatly increases invulnerability window.","Massively increases invulnerability window.","","","","B Balahara Coil α Waist Balahara Coil β Waist Balahara Helm α Head Balahara Helm β Head Balahara α Armor Sets Balahara β Armor Sets Barina Greaves α Legs Barina Greaves β Legs Barina Mail α Chest Barina Mail β Chest Butterfly Brachia α Arms Butterfly Crura α Legs Butterfly Elytra α Waist Butterfly Thorax α Chest Butterfly Vertex α Head Butterfly α Armor Sets E Evasion Charm I Level 1 Evasion Charm II Level 2 Evasion Charm III Level 3 Evasion Jewel [2] Armor Decorations G Gore Helm α Head Gore Helm β Head Gore Mail α Chest Gore Mail β Chest Gore Vambraces α Arms Gore Vambraces β Arms Gore α Armor Sets Gore β Armor Sets H Hirabami Armor Sets Hirabami Coil Waist Hirabami Coil α Waist Hirabami Coil β Waist Hirabami Greaves Legs Hirabami Headdress Head Hirabami Headdress α Head Hirabami Headdress β Head Hirabami Mail Chest Hirabami Mail α Chest Hirabami Mail β Chest Hirabami Vambraces Arms Hirabami Vambraces α Arms Hirabami Vambraces β Arms Hirabami α Armor Sets Hirabami β Armor Sets L Lala Barina α Armor Sets Lala Barina β Armor Sets R Rathalos Coil α Waist Rathalos Greaves α Legs Rathalos Greaves β Legs Rathalos Helm α Head Rathalos Helm β Head Rathalos Vambraces α Arms Rathalos α Armor Sets Rathalos β Armor Sets V Vespoid Coil α Waist Vespoid Mail α Chest Vespoid α Armor Sets","5",""
,,,,,,,,,,,,,
"","Exhaust Functionality","","Lets you use exhaust coatings.","","","","","","","","Draincoat Jewel [2] Weapon Decorations","1",""
"","Exploiter Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","","","","","","","","","","",""
"","Fire Attack","","Fire attack +40","Fire attack +10% Bonus: +50","Fire attack +20% Bonus: +60","","","","","","Blaze Jewel II [2] Weapon Decorations Blaze Jewel III [3] Weapon Decorations Blaze Jewel [1] Weapon Decorations Blaze/Bandolier Jwl [3] Weapon Decorations Blaze/Crit Elem Jwl [3] Weapon Decorations Blaze/Enhancer Jwl [3] Weapon Decorations Blaze/Focus Jewel [3] Weapon Decorations Blaze/Guardian Jewel [3] Weapon Decorations Blaze/Handicraft Jwl [3] Weapon Decorations Blaze/Ironwall Jwl [3] Weapon Decorations Blaze/KO Jewel [3] Weapon Decorations Blaze/Opener Jewel [3] Weapon Decorations Blaze/Precise Jewel [3] Weapon Decorations Blaze/Quickswitch Jwl [3] Weapon Decorations Blaze/Rzr Sharp Jwl [3] Weapon Decorations Blaze/Shield Jewel [3] Weapon Decorations","3",""
"","Fire Resistance","","Fire resistance +6","Fire resistance +12","Fire resistance +20 Defense +10","","","","","","Fire Charm I Level 1 Fire Charm II Level 2 Fire Charm III Level 3 Fire Res Jewel [1] Armor Decorations Kut-Ku Helm α Head Kut-Ku Mail α Chest Kut-Ku α Armor Sets Quematrice Armor Sets Quematrice Braces α Arms Quematrice Coil Waist Quematrice Coil α Waist Quematrice Coil β Waist Quematrice Mail Chest Quematrice Mail α Chest Quematrice α Armor Sets Quematrice β Armor Sets","3",""
"","Fisher Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","","","","","","","","","","",""
"","Flayer","","Makes it ever so slightly easier to inflict wounds. Also deals…","Makes it moderately easier to inflict wounds. Also deals slightly…","Makes it easier to inflict wounds. Also deals moderately more…","Makes it much easier to inflict wounds. Also deals more additional…","Makes it significantly easier to inflict wounds. Also deals much…","","","","Artian Coil α Waist Artian Greaves α Legs Artian Helm α Head Artian Mail α Chest Artian Vambraces α Arms Artian α Armor Sets Chainblade Charm I Level 1 Chainblade Charm II Level 2 Flayer Jewel [3] Armor Decorations G. Arkveld Coil α Waist G. Arkveld Coil β Waist G. Arkveld Helm Head G. Arkveld Helm α Head G. Arkveld Helm β Head G. Arkveld Mail Chest G. Arkveld Mail α Chest G. Arkveld Mail β Chest G. Arkveld Vambraces Arms Guardian Arkveld Armor Sets Guardian Arkveld α Armor Sets Guardian Arkveld β Armor Sets King Beetle Crura α Legs King Beetle Elytra α Waist King Beetle α Armor Sets","5",""
"","Flexible Leathercraft","","Increases gathering speed, and prevents knock back when gathering…","","","","","","","","C Chatacabra Armor Sets Chatacabra Coil Waist Chatacabra Coil α Waist Chatacabra Greaves Legs Chatacabra Greaves α Legs Chatacabra Helm Head Chatacabra Helm α Head Chatacabra Mail Chest Chatacabra Mail α Chest Chatacabra Vambraces Arms Chatacabra Vambraces α Arms Chatacabra α Armor Sets G Gajau Armor Sets Gajau Boots Legs Gajau Boots α Legs Gajau α Armor Sets Gypceros Coil α Waist Gypceros Greaves α Legs Gypceros Helm α Head Gypceros Mail α Chest Gypceros Vambraces α Arms Gypceros α Armor Sets P Piragill Armor Sets Piragill Greaves Legs Piragill Greaves α Legs Piragill α Armor Sets R Rompopolo Armor Sets Rompopolo Coil Waist Rompopolo Coil α Waist Rompopolo Greaves Legs Rompopolo Greaves α Legs Rompopolo Helm Head Rompopolo Helm α Head Rompopolo Mail Chest Rompopolo Mail α Chest Rompopolo Vambraces Arms Rompopolo Vambraces α Arms Rompopolo α Armor Sets T Talioth Armor Sets Talioth Vambraces Arms Talioth Vambraces α Arms Talioth α Armor Sets X Xu Wu Armor Sets Xu Wu Coil Waist Xu Wu Coil α Waist Xu Wu Greaves Legs Xu Wu Greaves α Legs Xu Wu Helm Head Xu Wu Helm α Head Xu Wu Mail Chest Xu Wu Mail α Chest Xu Wu Vambraces Arms Xu Wu Vambraces α Arms Xu Wu α Armor Sets","1",""
"","Flinch Free","","Prevents knockbacks.","Prevents knockbacks. Tripping is reduced to a knockback instead.…","Prevents knockbacks and tripping.","","","","","","Alloy Greaves α Legs Alloy Mail α Chest Alloy α Armor Sets Brace Jewel [1] Armor Decorations Gore Greaves α Legs Gore Greaves β Legs Gore α Armor Sets Gore β Armor Sets Gravios Coil α Waist Gravios Coil β Waist Gravios Vambraces α Arms Gravios α Armor Sets Gravios β Armor Sets High Metal Greaves α Legs High Metal α Armor Sets Impact Charm I Level 1 Impact Charm II Level 2 Impact Charm III Level 3 Kranodath Armor Sets Kranodath Mail Chest Kranodath Mail α Chest Kranodath Mail β Chest Kranodath α Armor Sets Kranodath β Armor Sets Quematrice Armor Sets Quematrice Braces Arms Quematrice Braces α Arms Quematrice Braces β Arms Quematrice Greaves Legs Quematrice Greaves α Legs Quematrice Greaves β Legs Quematrice Helm Head Quematrice Helm α Head Quematrice α Armor Sets Quematrice β Armor Sets","3",""
"","Focus","","Slightly increases gauge fill rate and reduces charge times by…","Moderately increases gauge fill rate and reduces charge times…","Increases gauge fill rate and reduces charge times by 15%.","","","","","","A Aerial Glaive Insect Glaive Astrapi Clairaxe Charge Blade B Bequeathed Testament Insect Glaive Blizzard Glaive I Insect Glaive Bone Axe I Switch Axe Bone Axe II Switch Axe Bone Axe III Switch Axe Bone Axe IV Switch Axe Bone Blade I Great Sword Bone Blade II Great Sword Bone Blade III Great Sword Bone Blade IV Great Sword Bone Bludgeon I Hammer Bone Bludgeon II Hammer Bone Bludgeon III Hammer Bone Bludgeon IV Hammer Bone Hatchets I Dual Blades Bone Hatchets II Dual Blades Bone Hatchets III Dual Blades Bone Hatchets IV Dual Blades Bone Shotel I Long Sword Bone Shotel II Long Sword Bone Shotel III Long Sword Bone Shotel IV Long Sword Bone Slasher Great Sword Bone Smasher Switch Axe Bone Staff I Insect Glaive Bone Staff II Insect Glaive Bone Staff III Insect Glaive Bone Staff IV Insect Glaive Bookwilthe's Punisher Bow C Chicken Decapitator I Great Sword Chicken Decapitator II Great Sword Chthonian Vajra I Insect Glaive Chthonian Vajra II Insect Glaive Cluster Hammer I Hammer Cluster Hammer II Hammer Cluster Hammer III Hammer D Dosha Gorehacker I Switch Axe Dosha Gorehacker II Switch Axe Dosha Grimslayer I Great Sword Dosha Grimslayer II Great Sword Dosha Guardflayers I Dual Blades Dosha Guardflayers II Dual Blades E Exultant Bedivere Hammer F Firetrail Leviora Bow Firetrail Magnesiae Dual Blades Focus Jewel II [2] Weapon Decorations Focus Jewel III [3] Weapon Decorations Focus Jewel [1] Weapon Decorations Focus/Blaze Jewel [3] Weapon Decorations Focus/Bolt Jwl [3] Weapon Decorations Focus/Dragon Jewel [3] Weapon Decorations Focus/Frost Jewel [3] Weapon Decorations Focus/Handicraft Jewel [3] Weapon Decorations Focus/KO Jewel [3] Weapon Decorations Focus/Precise Jewel [3] Weapon Decorations Focus/Stream Jewel [3] Weapon Decorations G G. Exultant Bedivere Hammer G. Indomitable Perceval Switch Axe G. Inspired Ywain Dual Blades G. Renowned Tristram Bow G. Righteous Lancelot Long Sword G. Stalwart Lamorak Great Sword G. Veldian Arcum I Bow G. Veldian Arcum II Bow G. Veldian Ensis I Long Sword G. Veldian Ensis II Long Sword G. Veldian Gladius I Great Sword G. Veldian Gladius II Great Sword G. Veldian Harpes I Dual Blades G. Veldian Harpes II Dual Blades G. Veldian Malleus I Hammer G. Veldian Malleus II Hammer G. Veldian Securis I Switch Axe G. Veldian Securis II Switch Axe Giant Jawblade Great Sword Gorehacker Urgahaac Switch Axe Gravios Conquerors Dual Blades Gravios Warmakers I Dual Blades Grimslayer Urgeom Great Sword Guardflayers Urbastra Dual Blades Guild Knight Sabers I Dual Blades Guild Knight Sabers II Dual Blades H Halilintar Clairglaive Insect Glaive Hard Bone Shotel Long Sword Heavy Bone Bludgeon Hammer Hunter's Bow I Bow Hunter's Bow II Bow Hunter's Bow III Bow Hunter's Bow IV Bow Hunter's Stoutbow Bow I Immaculate Blizzard Insect Glaive Indomitable Perceval Switch Axe Inspired Ywain Dual Blades J Jawblade I Great Sword Jin Dhakoo I Dual Blades Jin Dhauda I Hammer Jin Dhavaar I Great Sword M Master Sabers Dual Blades N Nerscrapper Hammer Nershock Bow Nihil Bow I Bow Nihil Bow II Bow Nihil Hammer I Hammer Nihil Hammer II Hammer P Perkonis Clairbow Bow Precipice Logamtu Hammer Precipice Metallam Great Sword Precipice Ulokiem Dual Blades Q Quematrice Arco I Bow Quematrice Arco II Bow Quematrice Arco III Bow Quematrice Arco IV Bow Quematrice Silexes I Dual Blades Quematrice Silexes II Dual Blades Quematrice Silexes III Dual Blades Quematrice Silexes IV Dual Blades R Renowned Tristram Bow Rey Astrapi I Charge Blade Rey Astrapi II Charge Blade Rey Astrapi III Charge Blade Rey Halilintar I Insect Glaive Rey Halilintar II Insect Glaive Rey Halilintar III Insect Glaive Rey Perkonis I Bow Rey Perkonis II Bow Rey Perkonis III Bow Rey Tonitrus I Long Sword Rey Tonitrus II Long Sword Rey Tonitrus III Long Sword Righteous Lancelot Long Sword Rompo Robustox Hammer Rompo Wrecker I Hammer Rompo Wrecker II Hammer Rompo Wrecker III Hammer Rooster Decapitator Great Sword S Scylla Fist I Bow Scylla Fist II Bow Scylla Fist III Bow Stalwart Lamorak Great Sword Stealth Glaive I Insect Glaive Stealth Glaive II Insect Glaive Stealth Glaive III Insect Glaive Stealth Glaive Redux Insect Glaive T Tonitrus Clairblade Long Sword V Veldian Arcum I Bow Veldian Ensis I Long Sword Veldian Gladius I Great Sword Veldian Harpes I Dual Blades Veldian Malleus I Hammer Veldian Securis I Switch Axe W Wild Hatchets Dual Blades Windbrace Bow I Bow Windbrace Bow II Bow Windbrace Bow III Bow Windbrace Ibami Bow Windclaw Blade I Long Sword Windclaw Blade II Long Sword Windclaw Blade III Long Sword Windclaw Kiribami Long Sword Windsunder Axe I Switch Axe Windsunder Axe II Switch Axe Windsunder Axe III Switch Axe Windsunder Sakibami Switch Axe Windthrash Charger I Charge Blade Windthrash Charger II Charge Blade Windthrash Charger III Charge Blade Windthrash Tamebami Charge Blade Z Zaccio's Execution Hammer","3",""
"","Foray","","Attack +6 against large monsters affected by poison or paralysis.…","Attack +8 and affinity +5% against large monsters affected by…","Attack +10 and affinity +10% against large monsters affected…","Attack +12 and affinity +15% against large monsters affected…","Attack +15 and affinity +20% against large monsters affected…","","","","Barina Greaves α Legs Barina Headgear α Head Barina Headgear β Head Barina Vambraces α Arms Comaqchi Accessory α Head Comaqchi α Armor Sets Foray Charm I Level 1 Foray Charm II Level 2 Foray Jewel [3] Armor Decorations Guild Ace Boots α Legs Guild Ace Coil α Waist Guild Ace Earrings α Head Guild Ace Mail α Chest Guild Ace Vambraces α Arms Guild Ace α Armor Sets King Beetle Brachia α Arms King Beetle Thorax α Chest King Beetle Vertex α Head King Beetle α Armor Sets Lala Barina α Armor Sets Lala Barina β Armor Sets Rathian Coil α Waist Rathian Coil β Waist Rathian Greaves α Legs Rathian Greaves β Legs Rathian Mail α Chest Rathian Mail β Chest Rathian Vambraces α Arms Rathian Vambraces β Arms Rathian α Armor Sets Rathian β Armor Sets Rompopolo Coil α Waist Rompopolo Coil β Waist Rompopolo α Armor Sets Rompopolo β Armor Sets","5",""
