"Title","ArmorSet","Rarity","Price","Skills","Slot1","Slot2","Slot3","DefensiveStats","ForgingMaterials","UnlockRequirements"
"Butterfly Elytra α","Butterfly α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Constitution Evade Window Evade Extender","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Great Hornfly 1× Vespoid Innerwing 1× Monster Broth","Great Hornfly"
"Butterfly Thorax α","Butterfly α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Constitution Evade Window Evade Extender","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Great Hornfly 1× Vespoid Innerwing 1× Monster Broth","Great Hornfly"
"Butterfly Vertex α","Butterfly α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Constitution Evade Window Evade Extender","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Great Hornfly 1× Vespoid Innerwing 1× Monster Broth","Great Hornfly"
"Chainmail Armor α","Chainmail α Armor Sets","Rarity 5","2,500 z","Geologist Ice Resistance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Scale","Lured by Abundance Assignments"
"Chainmail Belt","Chainmail Armor Sets","Rarity 1","100 z","Recovery Speed","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","",""
"Chainmail Belt α","Chainmail α Armor Sets","Rarity 5","2,500 z","Recovery Speed Ice Resistance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Scale","Lured by Abundance Assignments"
"Chainmail Gloves","Chainmail Armor Sets","Rarity 1","100 z","Geologist","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","",""
"Chainmail Gloves α","Chainmail α Armor Sets","Rarity 5","2,500 z","Geologist Recovery Speed","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Scale 1× Icium","Lured by Abundance Assignments"
"Chainmail Headgear","Chainmail Armor Sets","Rarity 1","100 z","Geologist","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","",""
"Chainmail Headgear α","Chainmail α Armor Sets","Rarity 5","2,500 z","Geologist","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Scale 1× Icium","Lured by Abundance Assignments"
"Chainmail Pants","Chainmail Armor Sets","Rarity 1","100 z","Recovery Speed","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","",""
"Chainmail Pants α","Chainmail α Armor Sets","Rarity 5","2,500 z","Recovery Speed","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Scale 1× Icium","Lured by Abundance Assignments"
"Chainmail Vest","Chainmail Armor Sets","Rarity 1","100 z","Geologist","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","",""
"Chatacabra Coil","Chatacabra Large Monsters","Rarity 1","200 z","Flexible Leathercraft Speed Eating","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Chatacabra Certificate 2× Chatacabra Scale 1× Chatacabra Jaw 1× Sharp Fang","Chatacabra"
"Chatacabra Coil α","Chatacabra α Armor Sets","Rarity 5","3,000 z","Flexible Leathercraft Speed Eating Item Prolonger","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Chatacabra Certificate S 3× Chatacabra Hide+ 1× Chatacabra Carapace","Lured by Abundance Assignments"
"Chatacabra Coil β","Chatacabra β Armor Sets","Rarity 5","3,000 z","Buttery Leathercraft Speed Eating","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Chatacabra Certificate S 3× Chatacabra Hide+ 1× Chatacabra Carapace","Lured by Abundance Assignments"
"Chatacabra Greaves","Chatacabra Large Monsters","Rarity 1","200 z","Flexible Leathercraft Item Prolonger","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Chatacabra Jaw 1× Chatacabra Shell 1× Mystery Bone","Chatacabra"
"","","","","","","","","","",""
"Chatacabra Greaves α","Chatacabra α Armor Sets","Rarity 5","3,000 z","Flexible Leathercraft Item Prolonger Weakness Exploit","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Chatacabra Certificate S 2× Chatacabra Scale+ 1× Chatacabra Jaw+ 1× Wingdrake Hide+","Lured by Abundance Assignments"
"Chatacabra Greaves β","Chatacabra β Armor Sets","Rarity 5","3,000 z","Buttery Leathercraft Weakness Exploit","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Chatacabra Certificate S 2× Chatacabra Scale+ 1× Chatacabra Jaw+ 1× Wingdrake Hide+","Lured by Abundance Assignments"
"Chatacabra Helm","Chatacabra Large Monsters","Rarity 1","200 z","Flexible Leathercraft Speed Eating","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Chatacabra Scale 1× Chatacabra Jaw","Chatacabra"
"Chatacabra Helm α","Chatacabra α Armor Sets","Rarity 5","3,000 z","Flexible Leathercraft Speed Eating Wide-Range","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Chatacabra Scale+ 1× Chatacabra Jaw+ 1× Stoutbone","Lured by Abundance Assignments"
"Chatacabra Helm β","Chatacabra β Armor Sets","Rarity 5","3,000 z","Buttery Leathercraft Speed Eating","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Chatacabra Scale+ 1× Chatacabra Jaw+ 1× Stoutbone","Lured by Abundance Assignments"
"Chatacabra Mail","Chatacabra Large Monsters","Rarity 1","200 z","Flexible Leathercraft Speed Eating","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Chatacabra Scale 2× Chatacabra Hide 1× Chatacabra Shell","Chatacabra"
"Chatacabra Mail α","Chatacabra α Armor Sets","Rarity 5","3,000 z","Flexible Leathercraft Speed Eating Weakness Exploit","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Chatacabra Certificate S 2× Chatacabra Carapace 1× Quality Bone","Lured by Abundance Assignments"
"Chatacabra Mail β","Chatacabra β Armor Sets","Rarity 5","3,000 z","Buttery Leathercraft Speed Eating","1","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Chatacabra Certificate S 2× Chatacabra Carapace 1× Quality Bone","Lured by Abundance Assignments"
"Chatacabra Vambraces","Chatacabra Large Monsters","Rarity 1","200 z","Flexible Leathercraft Item Prolonger","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Chatacabra Hide 1× Chatacabra Shell","Chatacabra"
"Chatacabra Vambraces α","Chatacabra α Armor Sets","Rarity 5","3,000 z","Flexible Leathercraft Item Prolonger Wide-Range","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Chatacabra Scale+ 2× Chatacabra Hide+ 1× Chatacabra Jaw+ 1× Chatacabra Carapace","Lured by Abundance Assignments"
"Chatacabra Vambraces β","Chatacabra β Armor Sets","Rarity 5","3,000 z","Buttery Leathercraft Item Prolonger","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Chatacabra Scale+ 2× Chatacabra Hide+ 1× Chatacabra Jaw+ 1× Chatacabra Carapace","Lured by Abundance Assignments"
"Comaqchi Accessory","Comaqchi Small Monsters","Rarity 3","400 z","Neopteron Alert Sleep Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Comaqchi Shell","Comaqchi Small Monsters"
"","","","","","","","","","",""
"Comaqchi Accessory α","Comaqchi α Armor Sets","Rarity 5","2,500 z","Neopteron Alert Sleep Resistance Foray","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Comaqchi Carapace","Lured by Abundance Assignments"
"Comaqchi Accessory β","Comaqchi β Armor Sets","Rarity 5","2,500 z","Neopteron Camouflage Sleep Resistance","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Comaqchi Carapace","Lured by Abundance Assignments"
"Commission Coil α","Commission α Armor Sets","Rarity 6","4,000 z","Agitator Tool Specialist","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Commission Ticket 2× Stoutbone 5× Doshaguma Fur+","Commission Ticket"
"Commission Greaves α","Commission α Armor Sets","Rarity 6","4,000 z","Agitator Earplugs","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Commission Ticket 2× Quality Bone 5× Quematrice Scale+","Commission Ticket"
"Commission Helm α","Commission α Armor Sets","Rarity 6","4,000 z","Agitator Maximum Might","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Commission Ticket 2× Carbalite Ore 5× Chatacabra Scale+","Commission Ticket"
"Commission Mail α","Commission α Armor Sets","Rarity 6","4,000 z","Agitator Divine Blessing","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Commission Ticket 2× Gracium 5× Lala Barina Floret+","Commission Ticket"
"Commission Vambraces α","Commission α Armor Sets","Rarity 6","4,000 z","Agitator Quick Sheathe","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Commission Ticket 2× Monster Keenbone 5× Balahara Scale+","Commission Ticket"
"Conga Coil","Conga Small Monsters","Rarity 2","400 z","Fortifying Pelt Stench Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Congalala Pelt 1× Congalala Fang","Congalala"
"Conga Coil α","Conga α Armor Sets","Rarity 5","3,000 z","Fortifying Pelt Mushroomancer Free Meal","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Congalala Certificate S 3× Congalala Claw+ 1× Vibrant Pelt+","Lured by Abundance Assignments"
"Conga Coil β","Conga β Armor Sets","Rarity 5","3,000 z","Alluring Pelt Mushroomancer","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Congalala Certificate S 3× Congalala Claw+ 1× Vibrant Pelt+","Lured by Abundance Assignments"
"Conga Greaves","Conga Small Monsters","Rarity 2","400 z","Fortifying Pelt Mushroomancer","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Congalala Certificate 1× Congalala Pelt 1× Congalala Fang 1× Conga Pelt","Congalala"
"Conga Greaves α","Conga α Armor Sets","Rarity 5","3,000 z","Fortifying Pelt Mushroomancer Burst","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Congalala Certificate S 2× Congalala Pelt+ 1× Congalala Fang+ 1× Acute Fang","Lured by Abundance Assignments"
"","","","","","","","","","",""
"Conga Greaves β","Conga β Armor Sets","Rarity 5","3,000 z","Alluring Pelt Burst","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Congalala Certificate S 2× Congalala Pelt+ 1× Congalala Fang+ 1× Acute Fang","Lured by Abundance Assignments"
"Conga Helm","Conga Small Monsters","Rarity 2","400 z","Fortifying Pelt Mushroomancer","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Congalala Claw 1× Vibrant Pelt","Congalala"
"Conga Helm α","Conga α Armor Sets","Rarity 5","3,000 z","Fortifying Pelt Intimidator Free Meal","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Congalala Pelt+ 1× Congalala Fang+ 1× Stoutbone","Lured by Abundance Assignments"
"Conga Helm β","Conga β Armor Sets","Rarity 5","3,000 z","Alluring Pelt Intimidator","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Congalala Pelt+ 1× Congalala Fang+ 1× Stoutbone","Lured by Abundance Assignments"
"Conga Mail","Conga Small Monsters","Rarity 2","400 z","Fortifying Pelt Mushroomancer","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Congalala Pelt 1× Congalala Claw 1× Vibrant Pelt","Congalala"
"Conga Mail α","Conga α Armor Sets","Rarity 5","3,000 z","Fortifying Pelt Intimidator Burst","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Congalala Pelt+ 2× Congalala Claw+ 1× Congalala Fang+ 1× Vibrant Pelt+","Lured by Abundance Assignments"
"Conga Mail β","Conga β Armor Sets","Rarity 5","3,000 z","Alluring Pelt Intimidator","1","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Congalala Pelt+ 2× Congalala Claw+ 1× Congalala Fang+ 1× Vibrant Pelt+","Lured by Abundance Assignments"
"Conga Vambraces","Conga Small Monsters","Rarity 2","400 z","Fortifying Pelt Stench Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Congalala Fang 1× Vibrant Pelt 1× Machalite Ore","Congalala"
"Conga Vambraces α","Conga α Armor Sets","Rarity 5","3,000 z","Fortifying Pelt Mushroomancer Speed Eating","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Congalala Certificate S 1× Vibrant Pelt+ 2× Conga Pelt+","Lured by Abundance Assignments"
"Conga Vambraces β","Conga β Armor Sets","Rarity 5","3,000 z","Alluring Pelt Mushroomancer","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Congalala Certificate S 1× Vibrant Pelt+ 2× Conga Pelt+","Lured by Abundance Assignments"
"Dahaad Shardbraces α","Dahaad α Armor Sets","Rarity 7","7,000 z","Jin Dahaad's Revolt Lord's Favor Agitator Adaptability","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Jin Dahaad Certificate S 5× Jin Dahaad Carapace 4× Jin Dahaad Claw+ 3× Gracium","Jin Dahaad Scale+"
"Dahaad Shardbraces β","Dahaad β Armor Sets","Rarity 7","7,000 z","Jin Dahaad's Revolt Lord's Fury Agitator Adaptability","3","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Jin Dahaad Certificate S 5× Jin Dahaad Carapace 4× Jin Dahaad Claw+ 3× Gracium","Jin Dahaad Scale+"
"","","","","","","","","","",""
"Dahaad Shardcoil α","Dahaad α Armor Sets","Rarity 7","7,000 z","Jin Dahaad's Revolt Lord's Favor Weakness Exploit Tremor Resistance","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Jin Dahaad Iceplate 3× Jin Dahaad Horn 1× Jin Dahaad Icegem 3× Freezer Sac","Jin Dahaad Scale+"
"Dahaad Shardcoil β","Dahaad β Armor Sets","Rarity 7","7,000 z","Jin Dahaad's Revolt Lord's Fury Weakness Exploit Tremor Resistance","1","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Jin Dahaad Iceplate 3× Jin Dahaad Horn 1× Jin Dahaad Icegem 3× Freezer Sac","Jin Dahaad Scale+"
"Dahaad Shardgreaves α","Dahaad α Armor Sets","Rarity 7","7,000 z","Jin Dahaad's Revolt Lord's Favor Agitator Tremor Resistance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Jin Dahaad Scale+ 4× Jin Dahaad Iceplate 2× Jin Dahaad Horn 2× Comaqchi Carapace","Jin Dahaad Scale+"
"Dahaad Shardgreaves β","Dahaad β Armor Sets","Rarity 7","7,000 z","Jin Dahaad's Revolt Lord's Fury Agitator","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Jin Dahaad Scale+ 4× Jin Dahaad Iceplate 2× Jin Dahaad Horn 2× Comaqchi Carapace","Jin Dahaad Scale+"
"Dahaad Shardhelm α","Dahaad α Armor Sets","Rarity 7","7,000 z","Jin Dahaad's Revolt Lord's Favor Agitator Weakness Exploit","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Jin Dahaad Certificate S 3× Jin Dahaad Scale+ 4× Jin Dahaad Claw+ 1× Wyvern Gem","Jin Dahaad Scale+"
"Dahaad Shardhelm β","Dahaad β Armor Sets","Rarity 7","7,000 z","Jin Dahaad's Revolt Lord's Fury Agitator","2","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Jin Dahaad Certificate S 3× Jin Dahaad Scale+ 4× Jin Dahaad Claw+ 1× Wyvern Gem","Jin Dahaad Scale+"
"Dahaad Shardmail α","Dahaad α Armor Sets","Rarity 7","7,000 z","Jin Dahaad's Revolt Lord's Favor Adaptability Bind Resistance","3","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Jin Dahaad Scale+ 6× Jin Dahaad Carapace 3× Jin Dahaad Iceplate 3× Monster Hardbone","Jin Dahaad Scale+"
"Dahaad Shardmail β","Dahaad β Armor Sets","Rarity 7","7,000 z","Jin Dahaad's Revolt Lord's Fury Adaptability Bind Resistance","3","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Jin Dahaad Scale+ 6× Jin Dahaad Carapace 3× Jin Dahaad Iceplate 3× Monster Hardbone","Jin Dahaad Scale+"
"Damascus Coil α","Damascus α Armor Sets","Rarity 7","6,000 z","Wide-Range Recovery Up","3","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Fucium Ore 4× Guardian Scale+ 1× Novacrystal","Frozen Lord on the Precipice Assignments"
"Damascus Greaves α","Damascus α Armor Sets","Rarity 7","6,000 z","Wide-Range Item Prolonger","3","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Fucium Ore 3× Guardian Scale+ 1× Firecell Stone","Frozen Lord on the Precipice Assignments"
"Damascus Helm α","Damascus α Armor Sets","Rarity 7","6,000 z","Wide-Range Divine Blessing","3","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","4× Fucium Ore 3× Guardian Pelt+ 3× Frenzy Shard 1× Bird Wyvern Gem","Frozen Lord on the Precipice Assignments"
"Damascus Mail α","Damascus α Armor Sets","Rarity 7","6,000 z","Wide-Range Recovery Up","2","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Fucium Ore 2× Guardian Blood+ 5× Carbalite Ore 1× Wyvern Gem","Frozen Lord on the Precipice Assignments"
"","","","","","","","","","",""
"Damascus Vambraces α","Damascus α Armor Sets","Rarity 7","6,000 z","Wide-Range Divine Blessing","3","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","4× Fucium Ore 4× Guardian Pelt+ 4× Gracium 1× Beast Gem","Frozen Lord on the Precipice Assignments"
"Death Stench Bowels α","Death Stench α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Resentment Intimidator","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Sinister Cloth 1× Herbivore Carapace 1× Colossal Bone","Sinister Cloth"
"Death Stench Brain α","Death Stench α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Resentment Ambush","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Sinister Cloth 1× Wingdrake Hide+ 1× Quality Bone","Sinister Cloth"
"Death Stench Grip α","Death Stench α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Resentment Ambush","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Sinister Cloth 1× Wingdrake Hide+ 1× Quality Bone","Sinister Cloth"
"Death Stench Heel α","Death Stench α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Resentment Stun Resistance","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Sinister Cloth 1× Herbivore Carapace 1× Colossal Bone","Sinister Cloth"
"Death Stench Muscle α","Death Stench α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Resentment Ambush","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Sinister Cloth 1× Wingdrake Hide+ 1× Quality Bone","Sinister Cloth"
"Dober Coil α","Dober α Armor Sets","Rarity 7","6,000 z","Constitution Marathon Runner","3","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","4× Monster Hardbone 4× Monster Keenbone 3× Frozen Icebone 1× Ajarakan Medulla","Frozen Lord on the Precipice Assignments"
"Dober Greaves α","Dober α Armor Sets","Rarity 7","6,000 z","Constitution Mushroomancer","2","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Monster Hardbone 4× Great Stoutbone 3× Quality Bone 1× Gravios Medulla","Frozen Lord on the Precipice Assignments"
"Dober Helm α","Dober α Armor Sets","Rarity 7","6,000 z","Constitution Stamina Surge","3","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Monster Hardbone 4× Colossal Bone 3× Charred Oilbone","Frozen Lord on the Precipice Assignments"
"Dober Mail α","Dober α Armor Sets","Rarity 7","6,000 z","Constitution Marathon Runner","3","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Monster Hardbone 4× Colossal Bone 1× Dragonbone Relic","Frozen Lord on the Precipice Assignments"
"Dober Vambraces α","Dober α Armor Sets","Rarity 7","6,000 z","Constitution Stamina Surge","3","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","4× Monster Hardbone 4× Stoutbone 3× Tough Guardian Bone 1× Rath Medulla","Frozen Lord on the Precipice Assignments"
"Doshaguma Braces","Doshaguma Large Monsters","Rarity 2","400 z","Doshaguma's Might Fortifying Pelt Recovery Speed","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Doshaguma Hide 1× Doshaguma Fang","Doshaguma"
"","","","","","","","","","",""
"Doshaguma Braces α","Doshaguma α Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Fortifying Pelt Stun Resistance Stamina Surge","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Doshaguma Fur+ 2× Doshaguma Claw+ 2× Doshaguma Fang+ 3× Great Stoutbone","Doshaguma Fur+"
"Doshaguma Braces β","Doshaguma β Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Alluring Pelt Stun Resistance Stamina Surge","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Doshaguma Fur+ 2× Doshaguma Claw+ 2× Doshaguma Fang+ 3× Great Stoutbone","Doshaguma Fur+"
"Doshaguma Coil","Doshaguma Large Monsters","Rarity 2","400 z","Doshaguma's Might Fortifying Pelt Item Prolonger","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Doshaguma Claw 2× Doshaguma Fang 1× Sturdy Bone","Doshaguma"
"Doshaguma Coil α","Doshaguma α Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Fortifying Pelt Latent Power","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Doshaguma Certificate S 5× Doshaguma Fur+ 3× Doshaguma Claw+ 1× Beast Gem","Doshaguma Fur+"
"Doshaguma Coil β","Doshaguma β Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Alluring Pelt Latent Power","2","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Doshaguma Certificate S 5× Doshaguma Fur+ 3× Doshaguma Claw+ 1× Beast Gem","Doshaguma Fur+"
"Doshaguma Greaves","Doshaguma Large Monsters","Rarity 2","400 z","Doshaguma's Might Fortifying Pelt Free Meal","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Doshaguma Certificate 2× Doshaguma Fur 1× Doshaguma Claw 1× Brute Bone","Doshaguma"
"Doshaguma Greaves α","Doshaguma α Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Fortifying Pelt Free Meal Recovery Up","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Doshaguma Fur+ 4× Doshaguma Hide+ 2× Doshaguma Claw+ 2× Acute Fang","Doshaguma Fur+"
"Doshaguma Greaves β","Doshaguma β Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Alluring Pelt Free Meal Recovery Up","2","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Doshaguma Fur+ 4× Doshaguma Hide+ 2× Doshaguma Claw+ 2× Acute Fang","Doshaguma Fur+"
"Doshaguma Helm","Doshaguma Large Monsters","Rarity 2","400 z","Doshaguma's Might Fortifying Pelt Free Meal","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Doshaguma Fur 2× Doshaguma Hide 1× Doshaguma Fang 1× Herbivore Shell","Doshaguma"
"Doshaguma Helm α","Doshaguma α Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Fortifying Pelt Free Meal Stun Resistance","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Doshaguma Certificate S 3× Doshaguma Fang+ 2× Quality Bone","Doshaguma Fur+"
"Doshaguma Helm β","Doshaguma β Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Alluring Pelt Free Meal Stun Resistance","2","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Doshaguma Certificate S 3× Doshaguma Fang+ 2× Quality Bone","Doshaguma Fur+"
"Doshaguma Mail","Doshaguma Large Monsters","Rarity 2","400 z","Doshaguma's Might Fortifying Pelt Free Meal","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Doshaguma Fur 1× Doshaguma Claw","Doshaguma"
"","","","","","","","","","",""
"Doshaguma Mail α","Doshaguma α Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Fortifying Pelt Latent Power Stamina Surge","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Doshaguma Certificate S 5× Doshaguma Hide+ 2× Doshaguma Fang+ 2× Herbivore Carapace","Doshaguma Fur+"
"Doshaguma Mail β","Doshaguma β Armor Sets","Rarity 6","5,000 z","Doshaguma's Might Alluring Pelt Latent Power","1","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Doshaguma Certificate S 5× Doshaguma Hide+ 2× Doshaguma Fang+ 2× Herbivore Carapace","Doshaguma Fur+"
"Dragonking Eyepatch α","Dragonking α Armor Sets","Rarity 8","8,000 z","Counterstrike","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Hunter Symbol III 3× Guardian Blood+ 1× Wyvern Gem","Arkveld"
"Duna Coil","Uth Duna Large Monsters","Rarity 4","1,000 z","Uth Duna's Cover Lord's Favor Tool Specialist Aquatic/Oilsilt Mobility","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Uth Duna Scale 1× Uth Duna Cilia","A Feast in the Deep Assignments"
"Duna Greaves","Uth Duna Large Monsters","Rarity 4","1,000 z","Uth Duna's Cover Lord's Favor Peak Performance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Uth Duna Scale 2× Uth Duna Hide 1× Uth Duna Claw","A Feast in the Deep Assignments"
"Duna Helm","Uth Duna Large Monsters","Rarity 4","1,000 z","Uth Duna's Cover Lord's Favor Peak Performance Tool Specialist","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Uth Duna Certificate 2× Uth Duna Scale 1× Uth Duna Plate 1× Guardian Blood","Repel the Guardian Arkveld Assignments"
"Duna Mail","Uth Duna Large Monsters","Rarity 4","1,000 z","Uth Duna's Cover Lord's Favor Peak Performance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Uth Duna Cilia 1× Uth Duna Tentacle 2× Uth Duna Claw 1× Guardian Scale","Repel the Guardian Arkveld Assignments"
"Duna Vambraces","Uth Duna Large Monsters","Rarity 4","1,000 z","Uth Duna's Cover Lord's Favor Tool Specialist","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Uth Duna Hide 1× Uth Duna Tentacle 1× Guardian Pelt","Repel the Guardian Arkveld Assignments"
"Duna Wildbraces α","Uth Duna α Armor Sets","Rarity 7","7,000 z","Uth Duna's Cover Lord's Favor Peak Performance Quick Sheathe","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Uth Duna Scale+ 3× Uth Duna Cilia+ 3× Uth Duna Claw+ 2× Monster Hardbone","Uth Duna Scale+"
"Duna Wildbraces β","Uth Duna β Armor Sets","Rarity 7","7,000 z","Uth Duna's Cover Lord's Fury Peak Performance Quick Sheathe","3","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Uth Duna Scale+ 3× Uth Duna Cilia+ 3× Uth Duna Claw+ 2× Monster Hardbone","Uth Duna Scale+"
