"Title","MaxLevel","Lv1","Lv2","Lv3","Lv4","Lv5","Lv6","Lv7","ObtainedFrom"
"Critical Status","3","Slightly increases abnormal status effects when landing critical…","Increases abnormal status effects when landing critical hits.…","Greatly increases abnormal status effects when landing critical…","","","","","B Barina Bouclier II Charge Blade Barina Bouclier III Charge Blade Barina Bouclier IV Charge Blade Barina Dague II Sword and Shield Barina Dague III Sword and Shield Barina Dague IV Sword and Shield Barina Faucilles II Dual Blades Barina Faucilles III Dual Blades Barina Faucilles IV Dual Blades Barina Flamberge II Long Sword Barina Flamberge III Long Sword Barina Flamberge IV Long Sword Barina Hache II Switch Axe Barina Hache III Switch Axe Barina Hache IV Switch Axe Barina Perche II Insect Glaive Barina Perche III Insect Glaive Barina Perche IV Insect Glaive Barina Sarissa II Lance Barina Sarissa III Lance Barina Sarissa IV Lance C Crit Stat Jwl III [3] Crit Stat/Handicraft Jwl [3] Crit Stat/Ironwall Jwl [3] Crit Stat/Precise Jwl [3] Crit Status Jewel II [2] Crit Status Jewel [1] Crit Status/KO Jwl [3] D Dear Lutemia Charge Blade Dear Lutemis I Charge Blade Dear Lutemis II Charge Blade Dragonmaiden Axe I Switch Axe Dragonmaiden Axe II Switch Axe G Gríðr's Landmaker Switch Axe L Lala Acanthopelm Sword and Shield Lala Aviculari Lance Lala Eumenophor Charge Blade Lala Harpactirs Dual Blades Lala Ornithocton Long Sword Lala Selenocosmi Switch Axe Lala Stromatopelm Insect Glaive O Ortlinde Gunlance P Princess Panoply I Gunlance Princess Panoply II Gunlance Princess Rapier I Sword and Shield Princess Rapier II Sword and Shield Princess Regalia I Insect Glaive Princess Regalia II Insect Glaive Q Queen Chordmaker Hunting Horn Queen Rapier Sword and Shield Queen Regalia Insect Glaive S Shell Gunberd I Gunlance Shell Gunberd II Gunlance Shell Gunberd III Gunlance Sieglinde Great Sword Solid Gunberd Gunlance V Valkyrie Blade I Great Sword Valkyrie Blade II Great Sword Valkyrie Chordmaker I Hunting Horn Valkyrie Chordmaker II Hunting Horn W Wyvern Blade ""Holly"" Long Sword Wyvern Blade ""Verde"" I Long Sword Wyvern Blade ""Verde"" II Long Sword"
"Defender Meal (Hi)","","Often decreases damage taken.","","","","","","",""
"Defender Meal (Lo)","","Sometimes decreases damage taken.","","","","","","",""
"","","","","","","","","",""
"Defense Boost","7","Defense +5","Defense +10","Defense +5% Bonus: +10","Defense +5% Bonus: +20 All elemental resistances +3","Defense +8% Bonus: +20 All elemental resistances +3","Defense +8% Bonus: +35 All elemental resistances +5","Defense +10% Bonus: +35 All elemental resistances +5","Defense Charm I Defense Charm II Defense Charm III Defense Charm IV Defense Jewel [1]"
"Divine Blessing","3","While active, reduces damage taken by 15%.","While active, reduces damage taken by 30%.","While active, reduces damage taken by 50%.","","","","","Blessing Charm I Blessing Charm II Blessing Charm III Commission Mail α Commission α Damascus Helm α Damascus Vambraces α Damascus α G. Ebony Braces α G. Ebony Braces β G. Ebony Greaves α G. Ebony Greaves β Guardian Ebony α Guardian Ebony β Hope Hope Coil α Hope Greaves Hope Mail Hope Mask α Hope Vambraces Hope α Ingot Ingot Coil Ingot Coil α Ingot Helm Ingot Helm α Ingot α Protection Jewel [1] Rathian Helm α Rathian Helm β Rathian Vambraces α Rathian Vambraces β Rathian α Rathian β Suja Sash α Suja α"
"Doshaguma's Might","2","Temporarily grants attack +10 after a successful Power Clash…","Temporarily grants attack +25 after a successful Power Clash…","","","","","","Doshaguma Doshaguma Braces Doshaguma Braces α Doshaguma Braces β Doshaguma Coil Doshaguma Coil α Doshaguma Coil β Doshaguma Greaves Doshaguma Greaves α Doshaguma Greaves β Doshaguma Helm Doshaguma Helm α Doshaguma Helm β Doshaguma Mail Doshaguma Mail α Doshaguma Mail β Doshaguma α Doshaguma β G. Doshaguma Braces G. Doshaguma Braces α G. Doshaguma Braces β G. Doshaguma Coil G. Doshaguma Coil α G. Doshaguma Coil β G. Doshaguma Greaves G. Doshaguma Greaves α G. Doshaguma Greaves β G. Doshaguma Helm G. Doshaguma Helm α G. Doshaguma Helm β G. Doshaguma Mail G. Doshaguma Mail α G. Doshaguma Mail β Guardian Doshaguma Guardian Doshaguma α Guardian Doshaguma β"
"Dragon Attack","3","Dragon attack +40","Dragon attack +10% Bonus: +50","Dragon attack +20% Bonus: +60","","","","","Dragon Jewel II [2] Dragon Jewel III [3] Dragon Jewel [1] Dragon/Bandolier Jwl [3] Dragon/Crit Elem Jwl [3] Dragon/Enhancer Jwl [3] Dragon/Focus Jewel [3] Dragon/Guardian Jwl [3] Dragon/Handicraft Jwl [3] Dragon/Ironwall Jwl [3] Dragon/KO Jewel [3] Dragon/Opener Jewel [3] Dragon/Precise Jewel [3] Dragon/Quickswitch Jwl [3] Dragon/Rzr Sharp Jwl [3] Dragon/Shield Jewel [3]"
"Dragon Resistance","3","Dragon resistance +6","Dragon resistance +12","Dragon resistance +20 Defense +10","","","","","Dragon Charm I Dragon Charm II Dragon Charm III Dragon Res Jewel [1]"
"Earplugs","3","Reduces the effects of weak monster roars.","Nullifies weak monster roars and reduces the effects of strong…","Nullifies weak and strong monster roars.","","","","","Artian Helm α Artian α Commission Greaves α Commission α Duna Wildhelm α Duna Wildhelm β Earplugs Charm I Earplugs Jewel [2] G. Ebony Greaves α G. Ebony Greaves β G. Ebony Helm α G. Ebony Mail α G. Ebony Mail β G. Seikret Coil α G. Seikret Coil β Guardian Ebony α Guardian Ebony β Guardian Seikret α Guardian Seikret β Rompopolo Greaves α Rompopolo Vambraces α Rompopolo Vambraces β Rompopolo α Rompopolo β Uth Duna α Uth Duna β Xu Wu Coil α Xu Wu Coil β Xu Wu Vambraces α Xu Wu Vambraces β Xu Wu α Xu Wu β"
"Ebony Odogaron's Power","2","Extends the duration of the Burst skill and grants attack +3…","Further extends the duration of the Burst skill and grants attack…","","","","","","G. Ebony Braces G. Ebony Braces α G. Ebony Braces β G. Ebony Coil G. Ebony Coil α G. Ebony Coil β G. Ebony Greaves G. Ebony Greaves α G. Ebony Greaves β G. Ebony Helm G. Ebony Helm α G. Ebony Helm β G. Ebony Mail G. Ebony Mail α G. Ebony Mail β Guardian Ebony Guardian Ebony α Guardian Ebony β"
"Elemental Absorption","3","While active, slightly increases elemental attack, and resistance…","While active, moderately increases elemental attack, and resistance…","While active, increases elemental attack, and resistance to element…","","","","","Arkveld α Arkvulcan Helm α Arkvulcan Mail α G. Arkveld Coil α G. Arkveld Greaves α G. Arkveld Greaves β Guardian Arkveld α Guardian Arkveld β Imbibe Charm I"
"Entomologist","1","Activates skill effect.","","","","","","","Bulaqchi Bulaqchi Specs Bulaqchi Specs α Bulaqchi Specs β Bulaqchi α Bulaqchi β Mimiphyta α Mimiphyta α Specimen Jewel [1]"
"Escape Artist Meal","","","","","","","","",""
"Evade Extender","3","Slightly extends evasion distance.","Extends evasion distance.","Greatly extends evasion distance.","","","","","Balahara Balahara Coil Balahara Coil α Balahara Greaves Balahara Greaves α Balahara Greaves β Balahara Vambraces Balahara Vambraces α Balahara Vambraces β Balahara α Balahara β Butterfly Elytra α Butterfly Thorax α Butterfly Vertex α Butterfly α Hirabami Headdress α Hirabami α Jumping Jewel [2] Leaping Charm I Leaping Charm II Leaping Charm III Quematrice Greaves α Quematrice α Rey Dau α Rey Dau β Rey Sandhelm α Rey Sandhelm β"
"Evade Window","5","Very slightly increases invulnerability window.","Slightly increases invulnerability window.","Increases invulnerability window.","Greatly increases invulnerability window.","Massively increases invulnerability window.","","","B Balahara Coil α Balahara Coil β Balahara Helm α Balahara Helm β Balahara α Balahara β Barina Greaves α Barina Greaves β Barina Mail α Barina Mail β Butterfly Brachia α Butterfly Crura α Butterfly Elytra α Butterfly Thorax α Butterfly Vertex α Butterfly α E Evasion Charm I Evasion Charm II Evasion Charm III Evasion Jewel [2] G Gore Helm α Gore Helm β Gore Mail α Gore Mail β Gore Vambraces α Gore Vambraces β Gore α Gore β H Hirabami Hirabami Coil Hirabami Coil α Hirabami Coil β Hirabami Greaves Hirabami Headdress Hirabami Headdress α Hirabami Headdress β Hirabami Mail Hirabami Mail α Hirabami Mail β Hirabami Vambraces Hirabami Vambraces α Hirabami Vambraces β Hirabami α Hirabami β L Lala Barina α Lala Barina β R Rathalos Coil α Rathalos Greaves α Rathalos Greaves β Rathalos Helm α Rathalos Helm β Rathalos Vambraces α Rathalos α Rathalos β V Vespoid Coil α Vespoid Mail α Vespoid α"
"","","","","","","","","",""
"Exhaust Functionality","1","Lets you use exhaust coatings.","","","","","","","Draincoat Jewel [2]"
"Exploiter Meal","","","","","","","","",""
"Fire Attack","3","Fire attack +40","Fire attack +10% Bonus: +50","Fire attack +20% Bonus: +60","","","","","Blaze Jewel II [2] Blaze Jewel III [3] Blaze Jewel [1] Blaze/Bandolier Jwl [3] Blaze/Crit Elem Jwl [3] Blaze/Enhancer Jwl [3] Blaze/Focus Jewel [3] Blaze/Guardian Jewel [3] Blaze/Handicraft Jwl [3] Blaze/Ironwall Jwl [3] Blaze/KO Jewel [3] Blaze/Opener Jewel [3] Blaze/Precise Jewel [3] Blaze/Quickswitch Jwl [3] Blaze/Rzr Sharp Jwl [3] Blaze/Shield Jewel [3]"
"Fire Resistance","3","Fire resistance +6","Fire resistance +12","Fire resistance +20 Defense +10","","","","","Fire Charm I Fire Charm II Fire Charm III Fire Res Jewel [1] Kut-Ku Helm α Kut-Ku Mail α Kut-Ku α Quematrice Quematrice Braces α Quematrice Coil Quematrice Coil α Quematrice Coil β Quematrice Mail Quematrice Mail α Quematrice α Quematrice β"
"Fisher Meal","","","","","","","","",""
"Flayer","5","Makes it ever so slightly easier to inflict wounds. Also deals…","Makes it moderately easier to inflict wounds. Also deals slightly…","Makes it easier to inflict wounds. Also deals moderately more…","Makes it much easier to inflict wounds. Also deals more additional…","Makes it significantly easier to inflict wounds. Also deals much…","","","Artian Coil α Artian Greaves α Artian Helm α Artian Mail α Artian Vambraces α Artian α Chainblade Charm I Chainblade Charm II Flayer Jewel [3] G. Arkveld Coil α G. Arkveld Coil β G. Arkveld Helm G. Arkveld Helm α G. Arkveld Helm β G. Arkveld Mail G. Arkveld Mail α G. Arkveld Mail β G. Arkveld Vambraces Guardian Arkveld Guardian Arkveld α Guardian Arkveld β King Beetle Crura α King Beetle Elytra α King Beetle α"
"Flexible Leathercraft","1","Increases gathering speed, and prevents knock back when gathering…","","","","","","","C Chatacabra Chatacabra Coil Chatacabra Coil α Chatacabra Greaves Chatacabra Greaves α Chatacabra Helm Chatacabra Helm α Chatacabra Mail Chatacabra Mail α Chatacabra Vambraces Chatacabra Vambraces α Chatacabra α G Gajau Gajau Boots Gajau Boots α Gajau α Gypceros Coil α Gypceros Greaves α Gypceros Helm α Gypceros Mail α Gypceros Vambraces α Gypceros α P Piragill Piragill Greaves Piragill Greaves α Piragill α R Rompopolo Rompopolo Coil Rompopolo Coil α Rompopolo Greaves Rompopolo Greaves α Rompopolo Helm Rompopolo Helm α Rompopolo Mail Rompopolo Mail α Rompopolo Vambraces Rompopolo Vambraces α Rompopolo α T Talioth Talioth Vambraces Talioth Vambraces α Talioth α X Xu Wu Xu Wu Coil Xu Wu Coil α Xu Wu Greaves Xu Wu Greaves α Xu Wu Helm Xu Wu Helm α Xu Wu Mail Xu Wu Mail α Xu Wu Vambraces Xu Wu Vambraces α Xu Wu α"
"Flinch Free","3","Prevents knockbacks.","Prevents knockbacks. Tripping is reduced to a knockback instead.…","Prevents knockbacks and tripping.","","","","","Alloy Greaves α Alloy Mail α Alloy α Brace Jewel [1] Gore Greaves α Gore Greaves β Gore α Gore β Gravios Coil α Gravios Coil β Gravios Vambraces α Gravios α Gravios β High Metal Greaves α High Metal α Impact Charm I Impact Charm II Impact Charm III Kranodath Kranodath Mail Kranodath Mail α Kranodath Mail β Kranodath α Kranodath β Quematrice Quematrice Braces Quematrice Braces α Quematrice Braces β Quematrice Greaves Quematrice Greaves α Quematrice Greaves β Quematrice Helm Quematrice Helm α Quematrice α Quematrice β"
"Focus","3","Slightly increases gauge fill rate and reduces charge times by…","Moderately increases gauge fill rate and reduces charge times…","Increases gauge fill rate and reduces charge times by 15%.","","","","","A Aerial Glaive Insect Glaive Astrapi Clairaxe Charge Blade B Bequeathed Testament Insect Glaive Blizzard Glaive I Insect Glaive Bone Axe I Switch Axe Bone Axe II Switch Axe Bone Axe III Switch Axe Bone Axe IV Switch Axe Bone Blade I Great Sword Bone Blade II Great Sword Bone Blade III Great Sword Bone Blade IV Great Sword Bone Bludgeon I Hammer Bone Bludgeon II Hammer Bone Bludgeon III Hammer Bone Bludgeon IV Hammer Bone Hatchets I Dual Blades Bone Hatchets II Dual Blades Bone Hatchets III Dual Blades Bone Hatchets IV Dual Blades Bone Shotel I Long Sword Bone Shotel II Long Sword Bone Shotel III Long Sword Bone Shotel IV Long Sword Bone Slasher Great Sword Bone Smasher Switch Axe Bone Staff I Insect Glaive Bone Staff II Insect Glaive Bone Staff III Insect Glaive Bone Staff IV Insect Glaive Bookwilthe's Punisher Bow C Chicken Decapitator I Great Sword Chicken Decapitator II Great Sword Chthonian Vajra I Insect Glaive Chthonian Vajra II Insect Glaive Cluster Hammer I Hammer Cluster Hammer II Hammer Cluster Hammer III Hammer D Dosha Gorehacker I Switch Axe Dosha Gorehacker II Switch Axe Dosha Grimslayer I Great Sword Dosha Grimslayer II Great Sword Dosha Guardflayers I Dual Blades Dosha Guardflayers II Dual Blades E Exultant Bedivere Hammer F Firetrail Leviora Bow Firetrail Magnesiae Dual Blades Focus Jewel II [2] Focus Jewel III [3] Focus Jewel [1] Focus/Blaze Jewel [3] Focus/Bolt Jwl [3] Focus/Dragon Jewel [3] Focus/Frost Jewel [3] Focus/Handicraft Jewel [3] Focus/KO Jewel [3] Focus/Precise Jewel [3] Focus/Stream Jewel [3] G G. Exultant Bedivere Hammer G. Indomitable Perceval Switch Axe G. Inspired Ywain Dual Blades G. Renowned Tristram Bow G. Righteous Lancelot Long Sword G. Stalwart Lamorak Great Sword G. Veldian Arcum I Bow G. Veldian Arcum II Bow G. Veldian Ensis I Long Sword G. Veldian Ensis II Long Sword G. Veldian Gladius I Great Sword G. Veldian Gladius II Great Sword G. Veldian Harpes I Dual Blades G. Veldian Harpes II Dual Blades G. Veldian Malleus I Hammer G. Veldian Malleus II Hammer G. Veldian Securis I Switch Axe G. Veldian Securis II Switch Axe Giant Jawblade Great Sword Gorehacker Urgahaac Switch Axe Gravios Conquerors Dual Blades Gravios Warmakers I Dual Blades Grimslayer Urgeom Great Sword Guardflayers Urbastra Dual Blades Guild Knight Sabers I Dual Blades Guild Knight Sabers II Dual Blades H Halilintar Clairglaive Insect Glaive Hard Bone Shotel Long Sword Heavy Bone Bludgeon Hammer Hunter's Bow I Bow Hunter's Bow II Bow Hunter's Bow III Bow Hunter's Bow IV Bow Hunter's Stoutbow Bow I Immaculate Blizzard Insect Glaive Indomitable Perceval Switch Axe Inspired Ywain Dual Blades J Jawblade I Great Sword Jin Dhakoo I Dual Blades Jin Dhauda I Hammer Jin Dhavaar I Great Sword M Master Sabers Dual Blades N Nerscrapper Hammer Nershock Bow Nihil Bow I Bow Nihil Bow II Bow Nihil Hammer I Hammer Nihil Hammer II Hammer P Perkonis Clairbow Bow Precipice Logamtu Hammer Precipice Metallam Great Sword Precipice Ulokiem Dual Blades Q Quematrice Arco I Bow Quematrice Arco II Bow Quematrice Arco III Bow Quematrice Arco IV Bow Quematrice Silexes I Dual Blades Quematrice Silexes II Dual Blades Quematrice Silexes III Dual Blades Quematrice Silexes IV Dual Blades R Renowned Tristram Bow Rey Astrapi I Charge Blade Rey Astrapi II Charge Blade Rey Astrapi III Charge Blade Rey Halilintar I Insect Glaive Rey Halilintar II Insect Glaive Rey Halilintar III Insect Glaive Rey Perkonis I Bow Rey Perkonis II Bow Rey Perkonis III Bow Rey Tonitrus I Long Sword Rey Tonitrus II Long Sword Rey Tonitrus III Long Sword Righteous Lancelot Long Sword Rompo Robustox Hammer Rompo Wrecker I Hammer Rompo Wrecker II Hammer Rompo Wrecker III Hammer Rooster Decapitator Great Sword S Scylla Fist I Bow Scylla Fist II Bow Scylla Fist III Bow Stalwart Lamorak Great Sword Stealth Glaive I Insect Glaive Stealth Glaive II Insect Glaive Stealth Glaive III Insect Glaive Stealth Glaive Redux Insect Glaive T Tonitrus Clairblade Long Sword V Veldian Arcum I Bow Veldian Ensis I Long Sword Veldian Gladius I Great Sword Veldian Harpes I Dual Blades Veldian Malleus I Hammer Veldian Securis I Switch Axe W Wild Hatchets Dual Blades Windbrace Bow I Bow Windbrace Bow II Bow Windbrace Bow III Bow Windbrace Ibami Bow Windclaw Blade I Long Sword Windclaw Blade II Long Sword Windclaw Blade III Long Sword Windclaw Kiribami Long Sword Windsunder Axe I Switch Axe Windsunder Axe II Switch Axe Windsunder Axe III Switch Axe Windsunder Sakibami Switch Axe Windthrash Charger I Charge Blade Windthrash Charger II Charge Blade Windthrash Charger III Charge Blade Windthrash Tamebami Charge Blade Z Zaccio's Execution Hammer"
"Foray","5","Attack +6 against large monsters affected by poison or paralysis.…","Attack +8 and affinity +5% against large monsters affected by…","Attack +10 and affinity +10% against large monsters affected…","Attack +12 and affinity +15% against large monsters affected…","Attack +15 and affinity +20% against large monsters affected…","","","Barina Greaves α Barina Headgear α Barina Headgear β Barina Vambraces α Comaqchi Accessory α Comaqchi α Foray Charm I Foray Charm II Foray Jewel [3] Guild Ace Boots α Guild Ace Coil α Guild Ace Earrings α Guild Ace Mail α Guild Ace Vambraces α Guild Ace α King Beetle Brachia α King Beetle Thorax α King Beetle Vertex α King Beetle α Lala Barina α Lala Barina β Rathian Coil α Rathian Coil β Rathian Greaves α Rathian Greaves β Rathian Mail α Rathian Mail β Rathian Vambraces α Rathian Vambraces β Rathian α Rathian β Rompopolo Coil α Rompopolo Coil β Rompopolo α Rompopolo β"
"Fortifying Pelt","1","Increases attack and defense after fainting during a quest. (Can…","","","","","","","Ajarakan Ajarakan Coil Ajarakan Coil α Ajarakan Greaves Ajarakan Greaves α Ajarakan Helm Ajarakan Helm α Ajarakan Mail Ajarakan Mail α Ajarakan Vambraces Ajarakan Vambraces α Ajarakan α Arkveld α Arkvulcan Coil α Arkvulcan Greaves α Arkvulcan Helm α Arkvulcan Mail α Arkvulcan Vambraces α Blango Coil α Blango Greaves α Blango Helm α Blango Mail α Blango Vambraces α Blango α Conga Conga Coil Conga Coil α Conga Greaves Conga Greaves α Conga Helm Conga Helm α Conga Mail Conga Mail α Conga Vambraces Conga Vambraces α Conga α Doshaguma Doshaguma Braces Doshaguma Braces α Doshaguma Coil Doshaguma Coil α Doshaguma Greaves Doshaguma Greaves α Doshaguma Helm Doshaguma Helm α Doshaguma Mail Doshaguma Mail α Doshaguma α Mimiphyta α Mimiphyta α"
"Fortune Hunter Meal","","","","","","","","",""
"","","","","","","","","",""
"Free Meal","3","Activates 10% of the time.","Activates 25% of the time.","Activates 45% of the time.","","","","","Battle Vambraces α Battle α Conga Coil α Conga Helm α Conga α Doshaguma Doshaguma Greaves Doshaguma Greaves α Doshaguma Greaves β Doshaguma Helm Doshaguma Helm α Doshaguma Helm β Doshaguma Mail Doshaguma α Doshaguma β Kunafa Cloak α Kunafa α Light Eater's Charm I Light Eater's Charm II Light Eater's Charm III Satiated Jewel [1]"
"Fulgur Anjanath's Will","2","Grants an additional Stamina Gauge.","Grants an additional long Stamina Gauge.","","","","","","G. Fulgur Coil α G. Fulgur Coil β G. Fulgur Greaves α G. Fulgur Greaves β G. Fulgur Helm α G. Fulgur Helm β G. Fulgur Mail α G. Fulgur Mail β G. Fulgur Vambraces α G. Fulgur Vambraces β Guardian Fulgur α Guardian Fulgur β"
"Gatherer Meal","","Sometimes increases the number of resources per gather of bones,…","","","","","","",""
"Geologist","3","One extra item when gathering from bonepiles.","Additionally adds one extra item when gathering special items.…","Additionally adds one extra item when gathering from mining outcrops.…","","","","","Azuz Pants α Azuz α Balahara Greaves α Balahara Helm α Balahara Mail α Balahara Mail β Balahara α Balahara β Chainmail Chainmail Armor α Chainmail Gloves Chainmail Gloves α Chainmail Headgear Chainmail Headgear α Chainmail Vest Chainmail α Geology Charm I Geology Charm II Geology Charm III Geology Jewel [1]"
"Gore Magala's Tyranny","2","Infects you with Frenzy when against large monsters.","Infects you with Frenzy and raises attack when against large…","","","","","","Gore Coil α Gore Coil β Gore Greaves α Gore Greaves β Gore Helm α Gore Helm β Gore Mail α Gore Mail β Gore Vambraces α Gore Vambraces β Gore α Gore β"
"Gravios's Protection","2","Reduces the damage you take by 5% when your health is full. …","Reduces the damage you take by 10% when your health is full.…","","","","","","Gravios Coil α Gravios Coil β Gravios Greaves α Gravios Greaves β Gravios Helm α Gravios Helm β Gravios Mail α Gravios Mail β Gravios Vambraces α Gravios Vambraces β Gravios α Gravios β"
"Guard","3","Slightly decreases the impact of attacks and reduces stamina…","Decreases the impact of attacks and reduces stamina depletion…","Greatly decreases the impact of attacks and reduces stamina depletion…","","","","","A Abiding Gawain Charge Blade Arachnoscale I Charge Blade Arachnoscale II Charge Blade Arachnoscale III Charge Blade Arachnoscythe Charge Blade B Babel Spear Lance Bone Gunlance I Gunlance Bone Gunlance II Gunlance Bone Gunlance III Gunlance Bone Gunlance IV Gunlance Bone Lance I Lance Bone Lance II Lance Bone Lance III Lance Bone Lance IV Lance Bone Shooter I Heavy Bowgun Bone Shooter II Heavy Bowgun Bone Shooter III Heavy Bowgun Bone Shooter IV Heavy Bowgun Buster Blaster Heavy Bowgun C Chata Club I Sword and Shield Chata Club II Sword and Shield Chata Club III Sword and Shield Chata Club IV Sword and Shield Chata Strongarm I Charge Blade Chata Strongarm II Charge Blade Chata Strongarm III Charge Blade Chata Strongarm IV Charge Blade Cordayle's Revocation Sword and Shield F Falarmata-of-the-Waves Gunlance Firetrail Kaminet Lance Firetrail Quemador Gunlance G G. Abiding Gawain Charge Blade G. Guiding Artorius Sword and Shield G. Lawful Bors Gunlance G. Purifying Beaumains Lance G. Veldian Hasta I Gunlance G. Veldian Hasta II Gunlance G. Veldian Labrys I Charge Blade G. Veldian Labrys II Charge Blade G. Veldian Lancea I Lance G. Veldian Lancea II Lance G. Veldian Mucro I Sword and Shield G. Veldian Mucro II Sword and Shield Great Bone Gunlance Gunlance Guiding Artorius Sword and Shield H Hard Bone Lance Lance Heavy Shooter Heavy Bowgun I Immane Blade I Great Sword Immane Blade II Great Sword Immane Blade III Great Sword Immolator Blade Great Sword Indra Clairlance Lance Iron Beater I Sword and Shield Iron Beater II Sword and Shield Iron Beater III Sword and Shield Ironwall Jewel II [2] Ironwall Jewel III [3] Ironwall Jewel [1] J Jin Dhaklab I Sword and Shield Jin Dhaphal I Heavy Bowgun Jin Dhatop I Gunlance K Kuara Clairsword Sword and Shield L Lawful Bors Gunlance N Ner Bustergun I Heavy Bowgun Ner Bustergun II Heavy Bowgun Ner Bustergun III Heavy Bowgun Nerskiller Sword and Shield Nihil Sword I Sword and Shield Nihil Sword II Sword and Shield P Paladin Lance I Lance Precipice Lohamata Gunlance Precipice Malmiam Heavy Bowgun Precipice Mateptro Sword and Shield Purifying Beaumains Lance Q Quematrice Culebrina I Gunlance Quematrice Culebrina II Gunlance Quematrice Culebrina III Gunlance Quematrice Culebrina IV Gunlance Quematrice Lanza I Lance Quematrice Lanza II Lance Quematrice Lanza III Lance Quematrice Lanza IV Lance R Rey Indra I Lance Rey Indra II Lance Rey Indra III Lance Rey Kuara I Sword and Shield Rey Kuara II Sword and Shield Rey Kuara III Sword and Shield S Scaly Sword I Sword and Shield Scaly Sword II Sword and Shield Scaly Sword III Sword and Shield Shrouded Katalo Sword and Shield Shrouded Kutharja Charge Blade Smithy's Pride Sword and Shield T Tankmage I Heavy Bowgun Tankmage II Heavy Bowgun Tanksorcerer Heavy Bowgun U Uth Falarmata I Gunlance Uth Falarmata II Gunlance Uth Falarmata III Gunlance V Veldian Hasta I Gunlance Veldian Labrys I Charge Blade Veldian Lancea I Lance Veldian Mucro I Sword and Shield W Windpierce Lance I Lance Windpierce Lance II Lance Windpierce Lance III Lance Windpierce Tsukibami Lance"
"Guard Up","3","Reduces damage taken by 30%.","Reduces damage taken by 50%.","Reduces damage taken by 80%.","","","","","Chata Club IV Sword and Shield Chrome Drill I Lance Chrome Drill II Lance Chrome Drill III Lance Chrome Lance Lance Gravios Gigahowl Heavy Bowgun Gravios Howl I Heavy Bowgun Gravios Lance Lance Gravios Spear I Lance Gravios Syphos I Sword and Shield Rompo Dendrotox Charge Blade Rompo Latrotox Heavy Bowgun Rompo Piercer I Lance Rompo Piercer II Lance Rompo Piercer III Lance Rompo Shielder I Charge Blade Rompo Shielder II Charge Blade Rompo Shielder III Charge Blade Rompo Sniper I Heavy Bowgun Rompo Sniper II Heavy Bowgun Rompo Sniper III Heavy Bowgun Rompo Tetrotox Lance Shield Jewel II [2] Shield Jewel III [3] Shield Jewel [1] Shield/Blaze Jewel [3] Shield/Bolt Jewel [3] Shield/Dragon Jwl [3] Shield/Frost Jewel [3] Shield/Handicraft Jwl [3] Shield/Ironwall Jwl [3] Shield/Stream Jewel [3] Shrouded Katalo Sword and Shield Titan's Armament Sword and Shield Triple Bayonet I Gunlance Triple Bayonet II Gunlance Triple Bayonet III Gunlance Triumvirate Edge Gunlance White Cannon Gunlance White Gunlance I Gunlance"
"Guardian Arkveld's Vitality","2","Restores a moderate amount of health when destroying a wound…","Restores health when destroying a wound on a large monster. …","","","","","","G. Arkveld Coil G. Arkveld Coil α G. Arkveld Coil β G. Arkveld Greaves G. Arkveld Greaves α G. Arkveld Greaves β G. Arkveld Helm G. Arkveld Helm α G. Arkveld Helm β G. Arkveld Mail G. Arkveld Mail α G. Arkveld Mail β G. Arkveld Vambraces G. Arkveld Vambraces α G. Arkveld Vambraces β Guardian Arkveld Guardian Arkveld α Guardian Arkveld β"
"Guardian's Protection","1","Reduces elemental and unique damage while in the Ruins of Wyveria.…","","","","","","","Artian Coil α Artian Greaves α Artian Helm α Artian Mail α Artian Vambraces α Artian α G. Arkveld Coil β G. Arkveld Greaves β G. Arkveld Helm β G. Arkveld Mail β G. Arkveld Vambraces β G. Doshaguma Braces β G. Doshaguma Coil β G. Doshaguma Greaves β G. Doshaguma Helm β G. Doshaguma Mail β G. Ebony Braces β G. Ebony Coil β G. Ebony Greaves β G. Ebony Helm β G. Ebony Mail β G. Fulgur Coil β G. Fulgur Greaves β G. Fulgur Helm β G. Fulgur Mail β G. Fulgur Vambraces β G. Rathalos Coil β G. Rathalos Greaves β G. Rathalos Helm β G. Rathalos Mail β G. Rathalos Vambraces β G. Seikret Coil β Guardian Arkveld β Guardian Doshaguma β Guardian Ebony β Guardian Fulgur β Guardian Rathalos β Guardian Seikret β"
