"Icon","Title","Description","How to Obtain","Defensive Stats","Skills","Forging Materials","Unlock Requirements","Alternative Appearance","Armor Set","Rarity","Price","Slot Level 1","Slot Level 2","Slot Level 3","Skill Details"
"","Conga Vambraces","Armguards made from Congalala materials. Crudely made but highly…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fortifying Pelt Group Skills Stench Resistance Equipment Skills","1× Congalala Fang Equipment Materials 1× Vibrant Pelt Equipment Materials 1× Machalite Ore Equipment Materials","Congalala Large Monsters","","Conga Small Monsters","Rarity 2","400 z","","","","Fortifying Pelt Lv1;Stench Resistance Lv1"
"","Conga Vambraces α","Armguards made from Congalala materials. Crudely made but highly…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fortifying Pelt Group Skills Mushroomancer Equipment Skills Speed Eating Equipment Skills","1× Congalala Certificate S Equipment Materials 1× Vibrant Pelt+ Equipment Materials 2× Conga Pelt+ Equipment Materials","Lured by Abundance Assignments","","Conga α Armor Sets","Rarity 5","3,000 z","","","","Fortifying Pelt Lv1;Mushroomancer Lv1;Speed Eating Lv1"
"","Conga Vambraces β","Armguards made from Congalala materials. Crudely made but highly…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Alluring Pelt Group Skills Mushroomancer Equipment Skills","1× Congalala Certificate S Equipment Materials 1× Vibrant Pelt+ Equipment Materials 2× Conga Pelt+ Equipment Materials","Lured by Abundance Assignments","","Conga β Armor Sets","Rarity 5","3,000 z","1 "" /> 1","","","Alluring Pelt Lv1;Mushroomancer Lv1"
"","Dahaad Shardbraces α","Jin Dahaad armguards. Directly rejecting warmth, they freeze…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Jin Dahaad's Revolt Set Bonus Skills Lord's Favor Group Skills Agitator Equipment Skills Adaptability Equipment Skills","1× Jin Dahaad Certificate S Equipment Materials 5× Jin Dahaad Carapace Equipment Materials 4× Jin Dahaad Claw+ Equipment Materials 3× Gracium Equipment Materials","Jin Dahaad Scale+ Equipment Materials","","Dahaad α Armor Sets","Rarity 7","7,000 z","","","","Jin Dahaad's Revolt Lv1;Lord's Favor Lv1;Agitator Lv2;Adaptability Lv1"
"","Dahaad Shardbraces β","Jin Dahaad armguards. Directly rejecting warmth, they freeze…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Jin Dahaad's Revolt Set Bonus Skills Lord's Fury Group Skills Agitator Equipment Skills Adaptability Equipment Skills","1× Jin Dahaad Certificate S Equipment Materials 5× Jin Dahaad Carapace Equipment Materials 4× Jin Dahaad Claw+ Equipment Materials 3× Gracium Equipment Materials","Jin Dahaad Scale+ Equipment Materials","","Dahaad β Armor Sets","Rarity 7","7,000 z","3 "" /> 3","","","Jin Dahaad's Revolt Lv1;Lord's Fury Lv1;Agitator Lv1;Adaptability Lv1"
"","","","","","","","","","","","","","","",""
"","Dahaad Shardcoil α","Jin Dahaad waistgear. The ornate design recalls the majesty of…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Jin Dahaad's Revolt Set Bonus Skills Lord's Favor Group Skills Weakness Exploit Equipment Skills Tremor Resistance Equipment Skills","2× Jin Dahaad Iceplate Equipment Materials 3× Jin Dahaad Horn Equipment Materials 1× Jin Dahaad Icegem Equipment Materials 3× Freezer Sac Equipment Materials","Jin Dahaad Scale+ Equipment Materials","","Dahaad α Armor Sets","Rarity 7","7,000 z","1 "" /> 1","1 "" /> 1","","Jin Dahaad's Revolt Lv1;Lord's Favor Lv1;Weakness Exploit Lv1;Tremor Resistance Lv2"
"","Dahaad Shardcoil β","Jin Dahaad waistgear. The ornate design recalls the majesty of…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Jin Dahaad's Revolt Set Bonus Skills Lord's Fury Group Skills Weakness Exploit Equipment Skills Tremor Resistance Equipment Skills","2× Jin Dahaad Iceplate Equipment Materials 3× Jin Dahaad Horn Equipment Materials 1× Jin Dahaad Icegem Equipment Materials 3× Freezer Sac Equipment Materials","Jin Dahaad Scale+ Equipment Materials","","Dahaad β Armor Sets","Rarity 7","7,000 z","1 "" /> 1","1 "" /> 1","1 "" /> 1","Jin Dahaad's Revolt Lv1;Lord's Fury Lv1;Weakness Exploit Lv1;Tremor Resistance Lv1"
"","Dahaad Shardgreaves α","Jin Dahaad leg armor. Every footfall coats the earth in spiderwebs…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Jin Dahaad's Revolt Set Bonus Skills Lord's Favor Group Skills Agitator Equipment Skills Tremor Resistance Equipment Skills","6× Jin Dahaad Scale+ Equipment Materials 4× Jin Dahaad Iceplate Equipment Materials 2× Jin Dahaad Horn Equipment Materials 2× Comaqchi Carapace Equipment Materials","Jin Dahaad Scale+ Equipment Materials","","Dahaad α Armor Sets","Rarity 7","7,000 z","1 "" /> 1","","","Jin Dahaad's Revolt Lv1;Lord's Favor Lv1;Agitator Lv2;Tremor Resistance Lv1"
"","Dahaad Shardgreaves β","Jin Dahaad leg armor. Every footfall coats the earth in spiderwebs…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Jin Dahaad's Revolt Set Bonus Skills Lord's Fury Group Skills Agitator Equipment Skills","6× Jin Dahaad Scale+ Equipment Materials 4× Jin Dahaad Iceplate Equipment Materials 2× Jin Dahaad Horn Equipment Materials 2× Comaqchi Carapace Equipment Materials","Jin Dahaad Scale+ Equipment Materials","","Dahaad β Armor Sets","Rarity 7","7,000 z","2 "" /> 2","","","Jin Dahaad's Revolt Lv1;Lord's Fury Lv1;Agitator Lv2"
"","Dahaad Shardhelm α","Jin Dahaad head armor modelled after the helm of a member of…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Jin Dahaad's Revolt Set Bonus Skills Lord's Favor Group Skills Agitator Equipment Skills Weakness Exploit Equipment Skills","2× Jin Dahaad Certificate S Equipment Materials 3× Jin Dahaad Scale+ Equipment Materials 4× Jin Dahaad Claw+ Equipment Materials 1× Wyvern Gem Equipment Materials","Jin Dahaad Scale+ Equipment Materials","","Dahaad α Armor Sets","Rarity 7","7,000 z","1 "" /> 1","","","Jin Dahaad's Revolt Lv1;Lord's Favor Lv1;Agitator Lv1;Weakness Exploit Lv1"
"","Dahaad Shardhelm β","Jin Dahaad head armor modelled after the helm of a member of…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Jin Dahaad's Revolt Set Bonus Skills Lord's Fury Group Skills Agitator Equipment Skills","2× Jin Dahaad Certificate S Equipment Materials 3× Jin Dahaad Scale+ Equipment Materials 4× Jin Dahaad Claw+ Equipment Materials 1× Wyvern Gem Equipment Materials","Jin Dahaad Scale+ Equipment Materials","","Dahaad β Armor Sets","Rarity 7","7,000 z","2 "" /> 2","2 "" /> 2","","Jin Dahaad's Revolt Lv1;Lord's Fury Lv1;Agitator Lv1"
"","Dahaad Shardmail α","Jin Dahaad chest armor. The layered plates repel all pain and…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Jin Dahaad's Revolt Set Bonus Skills Lord's Favor Group Skills Adaptability Equipment Skills Bind Resistance Equipment Skills","5× Jin Dahaad Scale+ Equipment Materials 6× Jin Dahaad Carapace Equipment Materials 3× Jin Dahaad Iceplate Equipment Materials 3× Monster Hardbone Equipment Materials","Jin Dahaad Scale+ Equipment Materials","","Dahaad α Armor Sets","Rarity 7","7,000 z","3 "" /> 3","1 "" /> 1","","Jin Dahaad's Revolt Lv1;Lord's Favor Lv1;Adaptability Lv1;Bind Resistance Lv2"
"","Dahaad Shardmail β","Jin Dahaad chest armor. The layered plates repel all pain and…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Jin Dahaad's Revolt Set Bonus Skills Lord's Fury Group Skills Adaptability Equipment Skills Bind Resistance Equipment Skills","5× Jin Dahaad Scale+ Equipment Materials 6× Jin Dahaad Carapace Equipment Materials 3× Jin Dahaad Iceplate Equipment Materials 3× Monster Hardbone Equipment Materials","Jin Dahaad Scale+ Equipment Materials","","Dahaad β Armor Sets","Rarity 7","7,000 z","3 "" /> 3","2 "" /> 2","","Jin Dahaad's Revolt Lv1;Lord's Fury Lv1;Adaptability Lv1;Bind Resistance Lv1"
"","Damascus Coil α","Steel waistgear said to lead its wearer to glory. Rarely glimpsed…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Wide-Range Equipment Skills Recovery Up Equipment Skills","3× Fucium Ore Equipment Materials 4× Guardian Scale+ Equipment Materials 1× Novacrystal Equipment Materials","Frozen Lord on the Precipice Assignments","","Damascus α Armor Sets","Rarity 7","6,000 z","3 "" /> 3","2 "" /> 2","","Wide-Range Lv1;Recovery Up Lv1"
"","Damascus Greaves α","This legendary steel armor is said to lead its wearer down the…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Wide-Range Equipment Skills Item Prolonger Equipment Skills","3× Fucium Ore Equipment Materials 3× Guardian Scale+ Equipment Materials 1× Firecell Stone Equipment Materials","Frozen Lord on the Precipice Assignments","","Damascus α Armor Sets","Rarity 7","6,000 z","3 "" /> 3","","","Wide-Range Lv1;Item Prolonger Lv2"
"","Damascus Helm α","A steel helmet of precious origin and rare manufacture that is…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Wide-Range Equipment Skills Divine Blessing Equipment Skills","4× Fucium Ore Equipment Materials 3× Guardian Pelt+ Equipment Materials 3× Frenzy Shard Equipment Materials 1× Bird Wyvern Gem Equipment Materials","Frozen Lord on the Precipice Assignments","","Damascus α Armor Sets","Rarity 7","6,000 z","3 "" /> 3","1 "" /> 1","","Wide-Range Lv1;Divine Blessing Lv2"
"","Damascus Mail α","Steel chest armor capable of stopping a thousand arrows as it…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Wide-Range Equipment Skills Recovery Up Equipment Skills","5× Fucium Ore Equipment Materials 2× Guardian Blood+ Equipment Materials 5× Carbalite Ore Equipment Materials 1× Wyvern Gem Equipment Materials","Frozen Lord on the Precipice Assignments","","Damascus α Armor Sets","Rarity 7","6,000 z","2 "" /> 2","2 "" /> 2","","Wide-Range Lv1;Recovery Up Lv2"
"","","","","","","","","","","","","","","",""
"","Damascus Vambraces α","Steel armor said to lead its wearer to glory. Once thought to…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Wide-Range Equipment Skills Divine Blessing Equipment Skills","4× Fucium Ore Equipment Materials 4× Guardian Pelt+ Equipment Materials 4× Gracium Equipment Materials 1× Beast Gem Equipment Materials","Frozen Lord on the Precipice Assignments","","Damascus α Armor Sets","Rarity 7","6,000 z","3 "" /> 3","1 "" /> 1","","Wide-Range Lv1;Divine Blessing Lv1"
"","Death Stench Bowels α","This gear gives off a stench of decay, as though death’s aroma…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Imparted Wisdom Group Skills Resentment Equipment Skills Intimidator Equipment Skills","1× Sinister Cloth Equipment Materials 1× Herbivore Carapace Equipment Materials 1× Colossal Bone Equipment Materials","Sinister Cloth Equipment Materials","","Death Stench α Armor Sets","Rarity 6","4,000 z","2 "" /> 2","1 "" /> 1","","Imparted Wisdom Lv1;Resentment Lv1;Intimidator Lv2"
"","Death Stench Brain α","Accursed armor, said to bring death. The wearer hears echoes…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Imparted Wisdom Group Skills Resentment Equipment Skills Ambush Equipment Skills","1× Sinister Cloth Equipment Materials 1× Wingdrake Hide+ Equipment Materials 1× Quality Bone Equipment Materials","Sinister Cloth Equipment Materials","","Death Stench α Armor Sets","Rarity 6","4,000 z","2 "" /> 2","","","Imparted Wisdom Lv1;Resentment Lv1;Ambush Lv1"
"","Death Stench Grip α","Armor drenched in the stench of decay and a sensation as if the…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Imparted Wisdom Group Skills Resentment Equipment Skills Ambush Equipment Skills","1× Sinister Cloth Equipment Materials 1× Wingdrake Hide+ Equipment Materials 1× Quality Bone Equipment Materials","Sinister Cloth Equipment Materials","","Death Stench α Armor Sets","Rarity 6","4,000 z","2 "" /> 2","","","Imparted Wisdom Lv1;Resentment Lv1;Ambush Lv1"
"","Death Stench Heel α","Modeled on the god of death. Hearing the black footsteps means…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Imparted Wisdom Group Skills Resentment Equipment Skills Stun Resistance Equipment Skills","1× Sinister Cloth Equipment Materials 1× Herbivore Carapace Equipment Materials 1× Colossal Bone Equipment Materials","Sinister Cloth Equipment Materials","","Death Stench α Armor Sets","Rarity 6","4,000 z","2 "" /> 2","1 "" /> 1","","Imparted Wisdom Lv1;Resentment Lv1;Stun Resistance Lv2"
"","Death Stench Muscle α","Armor said to bring death. Unworldly light and penetratingly…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Imparted Wisdom Group Skills Resentment Equipment Skills Ambush Equipment Skills","1× Sinister Cloth Equipment Materials 1× Wingdrake Hide+ Equipment Materials 1× Quality Bone Equipment Materials","Sinister Cloth Equipment Materials","","Death Stench α Armor Sets","Rarity 6","4,000 z","2 "" /> 2","","","Imparted Wisdom Lv1;Resentment Lv1;Ambush Lv1"
"","Dober Coil α","Waistgear made of unknown black bones, perhaps from an ancient…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Constitution Equipment Skills Marathon Runner Equipment Skills","4× Monster Hardbone Equipment Materials 4× Monster Keenbone Equipment Materials 3× Frozen Icebone Equipment Materials 1× Ajarakan Medulla Equipment Materials","Frozen Lord on the Precipice Assignments","","Dober α Armor Sets","Rarity 7","6,000 z","3 "" /> 3","1 "" /> 1","","Constitution Lv1;Marathon Runner Lv2"
"","Dober Greaves α","Leg armor fashioned from obsidian bone of unknown provenance.…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Constitution Equipment Skills Mushroomancer Equipment Skills","5× Monster Hardbone Equipment Materials 4× Great Stoutbone Equipment Materials 3× Quality Bone Equipment Materials 1× Gravios Medulla Equipment Materials","Frozen Lord on the Precipice Assignments","","Dober α Armor Sets","Rarity 7","6,000 z","2 "" /> 2","2 "" /> 2","","Constitution Lv1;Mushroomancer Lv2"
"","Dober Helm α","Head armor fashioned from obsidian bone of unknown provenance.…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Constitution Equipment Skills Stamina Surge Equipment Skills","3× Monster Hardbone Equipment Materials 4× Colossal Bone Equipment Materials 3× Charred Oilbone Equipment Materials","Frozen Lord on the Precipice Assignments","","Dober α Armor Sets","Rarity 7","6,000 z","3 "" /> 3","","","Constitution Lv1;Stamina Surge Lv1"
"","Dober Mail α","Chest armor fashioned from obsidian bone of unknown provenance.…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Constitution Equipment Skills Marathon Runner Equipment Skills","3× Monster Hardbone Equipment Materials 4× Colossal Bone Equipment Materials 1× Dragonbone Relic Equipment Materials","Frozen Lord on the Precipice Assignments","","Dober α Armor Sets","Rarity 7","6,000 z","3 "" /> 3","2 "" /> 2","","Constitution Lv1;Marathon Runner Lv1"
"","Dober Vambraces α","Armguards made of unknown black bones, which surely belonged…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Constitution Equipment Skills Stamina Surge Equipment Skills","4× Monster Hardbone Equipment Materials 4× Stoutbone Equipment Materials 3× Tough Guardian Bone Equipment Materials 1× Rath Medulla Equipment Materials","Frozen Lord on the Precipice Assignments","","Dober α Armor Sets","Rarity 7","6,000 z","3 "" /> 3","","","Constitution Lv1;Stamina Surge Lv2"
"","Doshaguma Braces","Doshaguma armguards. Teeming with such feral power, they had…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Doshaguma's Might Set Bonus Skills Fortifying Pelt Group Skills Recovery Speed Equipment Skills","2× Doshaguma Hide Equipment Materials 1× Doshaguma Fang Equipment Materials","Doshaguma Large Monsters","","Doshaguma Large Monsters","Rarity 2","400 z","","","","Doshaguma's Might Lv1;Fortifying Pelt Lv1;Recovery Speed Lv1"
"","","","","","","","","","","","","","","",""
"","Doshaguma Braces α","Doshaguma armguards. Teeming with such feral power, they had…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Doshaguma's Might Set Bonus Skills Fortifying Pelt Group Skills Stun Resistance Equipment Skills Stamina Surge Equipment Skills","3× Doshaguma Fur+ Equipment Materials 2× Doshaguma Claw+ Equipment Materials 2× Doshaguma Fang+ Equipment Materials 3× Great Stoutbone Equipment Materials","Doshaguma Fur+ Equipment Materials","","Doshaguma α Armor Sets","Rarity 6","5,000 z","2 "" /> 2","","","Doshaguma's Might Lv1;Fortifying Pelt Lv1;Stun Resistance Lv2;Stamina Surge Lv1"
"","Doshaguma Braces β","Doshaguma armguards. Teeming with such feral power, they had…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Doshaguma's Might Set Bonus Skills Alluring Pelt Group Skills Stun Resistance Equipment Skills Stamina Surge Equipment Skills","3× Doshaguma Fur+ Equipment Materials 2× Doshaguma Claw+ Equipment Materials 2× Doshaguma Fang+ Equipment Materials 3× Great Stoutbone Equipment Materials","Doshaguma Fur+ Equipment Materials","","Doshaguma β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","1 "" /> 1","","Doshaguma's Might Lv1;Alluring Pelt Lv1;Stun Resistance Lv1;Stamina Surge Lv1"
"","Doshaguma Coil","Waistgear made from Doshaguma parts. Nothing can muss the thick…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Doshaguma's Might Set Bonus Skills Fortifying Pelt Group Skills Item Prolonger Equipment Skills","1× Doshaguma Claw Equipment Materials 2× Doshaguma Fang Equipment Materials 1× Sturdy Bone Equipment Materials","Doshaguma Large Monsters","","Doshaguma Large Monsters","Rarity 2","400 z","","","","Doshaguma's Might Lv1;Fortifying Pelt Lv1;Item Prolonger Lv1"
"","Doshaguma Coil α","Waistgear made from Doshaguma parts. Nothing can muss the thick…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Doshaguma's Might Set Bonus Skills Fortifying Pelt Group Skills Latent Power Equipment Skills","1× Doshaguma Certificate S Equipment Materials 5× Doshaguma Fur+ Equipment Materials 3× Doshaguma Claw+ Equipment Materials 1× Beast Gem Equipment Materials","Doshaguma Fur+ Equipment Materials","","Doshaguma α Armor Sets","Rarity 6","5,000 z","1 "" /> 1","","","Doshaguma's Might Lv1;Fortifying Pelt Lv1;Latent Power Lv2"
"","Doshaguma Coil β","Waistgear made from Doshaguma parts. Nothing can muss the thick…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Doshaguma's Might Set Bonus Skills Alluring Pelt Group Skills Latent Power Equipment Skills","1× Doshaguma Certificate S Equipment Materials 5× Doshaguma Fur+ Equipment Materials 3× Doshaguma Claw+ Equipment Materials 1× Beast Gem Equipment Materials","Doshaguma Fur+ Equipment Materials","","Doshaguma β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","2 "" /> 2","","Doshaguma's Might Lv1;Alluring Pelt Lv1;Latent Power Lv1"
"","Doshaguma Greaves","Doshaguma leg armor. Whether dune or sandstorm, nothing can slow…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Doshaguma's Might Set Bonus Skills Fortifying Pelt Group Skills Free Meal Equipment Skills","1× Doshaguma Certificate Equipment Materials 2× Doshaguma Fur Equipment Materials 1× Doshaguma Claw Equipment Materials 1× Brute Bone Equipment Materials","Doshaguma Large Monsters","","Doshaguma Large Monsters","Rarity 2","400 z","","","","Doshaguma's Might Lv1;Fortifying Pelt Lv1;Free Meal Lv1"
"","Doshaguma Greaves α","Doshaguma leg armor. Whether dune or sandstorm, nothing can slow…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Doshaguma's Might Set Bonus Skills Fortifying Pelt Group Skills Free Meal Equipment Skills Recovery Up Equipment Skills","3× Doshaguma Fur+ Equipment Materials 4× Doshaguma Hide+ Equipment Materials 2× Doshaguma Claw+ Equipment Materials 2× Acute Fang Equipment Materials","Doshaguma Fur+ Equipment Materials","","Doshaguma α Armor Sets","Rarity 6","5,000 z","2 "" /> 2","1 "" /> 1","","Doshaguma's Might Lv1;Fortifying Pelt Lv1;Free Meal Lv1;Recovery Up Lv2"
"","Doshaguma Greaves β","Doshaguma leg armor. Whether dune or sandstorm, nothing can slow…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Doshaguma's Might Set Bonus Skills Alluring Pelt Group Skills Free Meal Equipment Skills Recovery Up Equipment Skills","3× Doshaguma Fur+ Equipment Materials 4× Doshaguma Hide+ Equipment Materials 2× Doshaguma Claw+ Equipment Materials 2× Acute Fang Equipment Materials","Doshaguma Fur+ Equipment Materials","","Doshaguma β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","1 "" /> 1","1 "" /> 1","Doshaguma's Might Lv1;Alluring Pelt Lv1;Free Meal Lv1;Recovery Up Lv1"
"","Doshaguma Helm","Head armor made from Doshaguma parts. Pity any enemy who dares…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Doshaguma's Might Set Bonus Skills Fortifying Pelt Group Skills Free Meal Equipment Skills","2× Doshaguma Fur Equipment Materials 2× Doshaguma Hide Equipment Materials 1× Doshaguma Fang Equipment Materials 1× Herbivore Shell Equipment Materials","Doshaguma Large Monsters","","Doshaguma Large Monsters","Rarity 2","400 z","","","","Doshaguma's Might Lv1;Fortifying Pelt Lv1;Free Meal Lv1"
"","Doshaguma Helm α","Head armor made from Doshaguma parts. Pity any enemy who dares…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Doshaguma's Might Set Bonus Skills Fortifying Pelt Group Skills Free Meal Equipment Skills Stun Resistance Equipment Skills","2× Doshaguma Certificate S Equipment Materials 3× Doshaguma Fang+ Equipment Materials 2× Quality Bone Equipment Materials","Doshaguma Fur+ Equipment Materials","","Doshaguma α Armor Sets","Rarity 6","5,000 z","2 "" /> 2","1 "" /> 1","","Doshaguma's Might Lv1;Fortifying Pelt Lv1;Free Meal Lv2;Stun Resistance Lv1"
"","Doshaguma Helm β","Head armor made from Doshaguma parts. Pity any enemy who dares…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Doshaguma's Might Set Bonus Skills Alluring Pelt Group Skills Free Meal Equipment Skills Stun Resistance Equipment Skills","2× Doshaguma Certificate S Equipment Materials 3× Doshaguma Fang+ Equipment Materials 2× Quality Bone Equipment Materials","Doshaguma Fur+ Equipment Materials","","Doshaguma β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","1 "" /> 1","1 "" /> 1","Doshaguma's Might Lv1;Alluring Pelt Lv1;Free Meal Lv1;Stun Resistance Lv1"
"","Doshaguma Mail","Doshaguma chest armor. The lush shocks of fur function as a robust…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Doshaguma's Might Set Bonus Skills Fortifying Pelt Group Skills Free Meal Equipment Skills","2× Doshaguma Fur Equipment Materials 1× Doshaguma Claw Equipment Materials","Doshaguma Large Monsters","","Doshaguma Large Monsters","Rarity 2","400 z","","","","Doshaguma's Might Lv1;Fortifying Pelt Lv1;Free Meal Lv1"
"","","","","","","","","","","","","","","",""
"","Doshaguma Mail α","Doshaguma chest armor. The lush shocks of fur function as a robust…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Doshaguma's Might Set Bonus Skills Fortifying Pelt Group Skills Latent Power Equipment Skills Stamina Surge Equipment Skills","1× Doshaguma Certificate S Equipment Materials 5× Doshaguma Hide+ Equipment Materials 2× Doshaguma Fang+ Equipment Materials 2× Herbivore Carapace Equipment Materials","Doshaguma Fur+ Equipment Materials","","Doshaguma α Armor Sets","Rarity 6","5,000 z","1 "" /> 1","","","Doshaguma's Might Lv1;Fortifying Pelt Lv1;Latent Power Lv1;Stamina Surge Lv1"
"","Doshaguma Mail β","Doshaguma chest armor. The lush shocks of fur function as a robust…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Doshaguma's Might Set Bonus Skills Alluring Pelt Group Skills Latent Power Equipment Skills","1× Doshaguma Certificate S Equipment Materials 5× Doshaguma Hide+ Equipment Materials 2× Doshaguma Fang+ Equipment Materials 2× Herbivore Carapace Equipment Materials","Doshaguma Fur+ Equipment Materials","","Doshaguma β Armor Sets","Rarity 6","5,000 z","1 "" /> 1","1 "" /> 1","1 "" /> 1","Doshaguma's Might Lv1;Alluring Pelt Lv1;Latent Power Lv1"
"","Dragonking Eyepatch α","An accessory that instantly makes you look dashing and imposing.…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Counterstrike Equipment Skills","3× Hunter Symbol III Equipment Materials 3× Guardian Blood+ Equipment Materials 1× Wyvern Gem Equipment Materials","Arkveld Large Monsters","","Dragonking α Armor Sets","Rarity 8","8,000 z","","","","Counterstrike Lv3"
"","Duna Coil","Uth Duna waistgear. The fabric is imbued with the breath of the…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Uth Duna's Cover Set Bonus Skills Lord's Favor Group Skills Tool Specialist Equipment Skills Aquatic/Oilsilt Mobility Equipment Skills","2× Uth Duna Scale Equipment Materials 1× Uth Duna Cilia Equipment Materials","A Feast in the Deep Assignments","","Uth Duna Large Monsters","Rarity 4","1,000 z","","","",""
"","Duna Greaves","Elaborately patterned Uth Duna leg armor. The design is said…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Uth Duna's Cover Set Bonus Skills Lord's Favor Group Skills Peak Performance Equipment Skills","2× Uth Duna Scale Equipment Materials 2× Uth Duna Hide Equipment Materials 1× Uth Duna Claw Equipment Materials","A Feast in the Deep Assignments","","Uth Duna Large Monsters","Rarity 4","1,000 z","","","",""
"","Duna Helm","Uth Duna head armor. The plumage crafted from its fins convey…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Uth Duna's Cover Set Bonus Skills Lord's Favor Group Skills Peak Performance Equipment Skills Tool Specialist Equipment Skills","1× Uth Duna Certificate Equipment Materials 2× Uth Duna Scale Equipment Materials 1× Uth Duna Plate Equipment Materials 1× Guardian Blood Equipment Materials","Repel the Guardian Arkveld Assignments","","Uth Duna Large Monsters","Rarity 4","1,000 z","","","",""
"","Duna Mail","Uth Duna chest armor. The tightly fitted scales make the wearer…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Uth Duna's Cover Set Bonus Skills Lord's Favor Group Skills Peak Performance Equipment Skills","1× Uth Duna Cilia Equipment Materials 1× Uth Duna Tentacle Equipment Materials 2× Uth Duna Claw Equipment Materials 1× Guardian Scale Equipment Materials","Repel the Guardian Arkveld Assignments","","Uth Duna Large Monsters","Rarity 4","1,000 z","1 "" /> 1","","",""
"","Duna Vambraces","Uth Duna armguards. The rows of stone beading are an elegant…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Uth Duna's Cover Set Bonus Skills Lord's Favor Group Skills Tool Specialist Equipment Skills","2× Uth Duna Hide Equipment Materials 1× Uth Duna Tentacle Equipment Materials 1× Guardian Pelt Equipment Materials","Repel the Guardian Arkveld Assignments","","Uth Duna Large Monsters","Rarity 4","1,000 z","1 "" /> 1","","",""
"","Duna Wildbraces α","Uth Duna armguards. The rows of stone beading are an elegant…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Uth Duna's Cover Set Bonus Skills Lord's Favor Group Skills Peak Performance Equipment Skills Quick Sheathe Equipment Skills","5× Uth Duna Scale+ Equipment Materials 3× Uth Duna Cilia+ Equipment Materials 3× Uth Duna Claw+ Equipment Materials 2× Monster Hardbone Equipment Materials","Uth Duna Scale+ Equipment Materials","","Uth Duna α Armor Sets","Rarity 7","7,000 z","2 "" /> 2","1 "" /> 1","","Uth Duna's Cover Lv1;Lord's Favor Lv1;Peak Performance Lv2;Quick Sheathe Lv1"
