"Icon","Title","Description","Skills","Slot Level","Rarity","Price"
"","Focus/Handicraft Jewel [3]","A decoration that grants the Focus and Handicraft skills.","Focus Equipment Skills","3","Rarity 7","350 z"
"","Focus/Precise Jewel [3]","A decoration that grants the Focus and Ballistics skills.","Focus Equipment Skills","3","Rarity 7","350 z"
"","Focus/KO Jewel [3]","A decoration that grants the Focus and Slugger skills.","Focus Equipment Skills","3","Rarity 7","350 z"
"","Enhancer Jewel [1]","A decoration that grants the Power Prolonger skill.","Power Prolonger Equipment Skills","1","Rarity 3","150 z"
"","Enhancer Jewel II [2]","A decoration that grants the Power Prolonger skill.","Power Prolonger Equipment Skills","2","Rarity 4","200 z"
"","Enhancer Jewel III [3]","A decoration that grants the Power Prolonger skill.","Power Prolonger Equipment Skills","3","Rarity 5","250 z"
"","Enhancer/Blaze Jewel [3]","A decoration that grants the Power Prolonger and Fire Attack…","Power Prolonger Equipment Skills","3","Rarity 7","350 z"
"","Enhancer/Stream Jwl [3]","A decoration that grants the Power Prolonger and Water Attack…","Power Prolonger Equipment Skills","3","Rarity 7","350 z"
"","Enhancer/Frost Jwl [3]","A decoration that grants the Power Prolonger and Ice Attack skills.…","Power Prolonger Equipment Skills","3","Rarity 7","350 z"
"","Enhancer/Bolt Jewel [3]","A decoration that grants the Power Prolonger and Thunder Attack…","Power Prolonger Equipment Skills","3","Rarity 7","350 z"
"","Enhancer/Dragon Jwl [3]","A decoration that grants the Power Prolonger and Dragon Attack…","Power Prolonger Equipment Skills","3","Rarity 7","350 z"
"","Enhancer/Handicraft Jwl [3]","A decoration that grants the Power Prolonger and Handicraft skills.…","Power Prolonger Equipment Skills","3","Rarity 7","350 z"
"","Gambit Jewel [1]","A decoration that grants the Punishing Draw skill.","Punishing Draw Equipment Skills","1","Rarity 3","150 z"
"","Gambit Jewel II [2]","A decoration that grants the Punishing Draw skill.","Punishing Draw Equipment Skills","2","Rarity 4","200 z"
"","Gambit Jewel III [3]","A decoration that grants the Punishing Draw skill.","Punishing Draw Equipment Skills","3","Rarity 5","250 z"
"","Gambit/Handicraft Jwl [3]","A decoration that grants the Punishing Draw and Handicraft skills.…","Punishing Draw Equipment Skills","3","Rarity 7","350 z"
"","Gambit/KO Jewel [3]","A decoration that grants the Punishing Draw and Slugger skills.…","Punishing Draw Equipment Skills","3","Rarity 7","350 z"
"","Gambit/Ironwall Jwl [3]","A decoration that grants the Punishing Draw and Guard skills.…","Punishing Draw Equipment Skills","3","Rarity 7","350 z"
"","KO Jewel [1]","A decoration that grants the Slugger skill.","Slugger Equipment Skills","1","Rarity 3","150 z"
"","KO Jewel II [2]","A decoration that grants the Slugger skill.","Slugger Equipment Skills","2","Rarity 4","200 z"
"","KO Jewel III [3]","A decoration that grants the Slugger skill.","Slugger Equipment Skills","3","Rarity 5","250 z"
"","Drain Jewel [1]","A decoration that grants the Stamina Thief skill.","Stamina Thief Equipment Skills","1","Rarity 3","150 z"
"","Drain Jewel II [2]","A decoration that grants the Stamina Thief skill.","Stamina Thief Equipment Skills","2","Rarity 4","200 z"
"","Drain Jewel III [3]","A decoration that grants the Stamina Thief skill.","Stamina Thief Equipment Skills","3","Rarity 5","250 z"
,,,,,,
"","Artillery Jewel [1]","A decoration that grants the Artillery skill.","Artillery Equipment Skills","1","Rarity 3","150 z"
"","Artillery Jewel II [2]","A decoration that grants the Artillery skill.","Artillery Equipment Skills","2","Rarity 4","200 z"
"","Artillery Jewel III [3]","A decoration that grants the Artillery skill.","Artillery Equipment Skills","3","Rarity 5","250 z"
"","Quickswitch Jewel [1]","A decoration that grants the Rapid Morph skill.","Rapid Morph Equipment Skills","1","Rarity 3","150 z"
"","Quickswitch Jewel II [2]","A decoration that grants the Rapid Morph skill.","Rapid Morph Equipment Skills","2","Rarity 4","200 z"
"","Quickswitch Jewel III [3]","A decoration that grants the Rapid Morph skill.","Rapid Morph Equipment Skills","3","Rarity 5","250 z"
"","Quickswitch/Blaze Jwl [3]","A decoration that grants the Rapid Morph and Fire Attack skills.…","Rapid Morph Equipment Skills","3","Rarity 7","350 z"
"","Quickswitch/Stream Jwl [3]","A decoration that grants the Rapid Morph and Water Attack skills.…","Rapid Morph Equipment Skills","3","Rarity 7","350 z"
"","Quickswitch/Frost Jwl [3]","A decoration that grants the Rapid Morph and Ice Attack skills.…","Rapid Morph Equipment Skills","3","Rarity 7","350 z"
"","Quickswitch/Bolt Jwl [3]","A decoration that grants the Rapid Morph and Thunder Attack skills.…","Rapid Morph Equipment Skills","3","Rarity 7","350 z"
"","Quickswitch/Dragon Jwl [3]","A decoration that grants the Rapid Morph and Dragon Attack skills.…","Rapid Morph Equipment Skills","3","Rarity 7","350 z"
"","Quickswitch/Handicraft Jwl [3]","A decoration that grants the Rapid Morph and Handicraft skills.…","Rapid Morph Equipment Skills","3","Rarity 7","350 z"
,,,,,,
"","Quickswitch/KO Jwl [3]","A decoration that grants the Rapid Morph and Slugger skills.…","Rapid Morph Equipment Skills","3","Rarity 7","350 z"
"","Quickswitch/Ironwall Jwl [3]","A decoration that grants the Rapid Morph and Guard skills.","Rapid Morph Equipment Skills","3","Rarity 7","350 z"
"","Sonorous Jewel [2]","A decoration that grants the Horn Maestro skill.","Horn Maestro Equipment Skills","2","Rarity 4","200 z"
"","Sonorous/Attack Jwl [3]","A decoration that grants the Horn Maestro and Attack Boost skills.…","Horn Maestro Equipment Skills","3","Rarity 5","250 z"
"","Sonorous/Expert Jwl [3]","A decoration that grants the Horn Maestro and Critical Eye skills.…","Horn Maestro Equipment Skills","3","Rarity 5","250 z"
"","Sonorous/Draw Jwl [3]","A decoration that grants the Horn Maestro and Critical Draw skills.…","Horn Maestro Equipment Skills","3","Rarity 5","250 z"
"","Sonorous/Handicraft Jwl [3]","A decoration that grants the Horn Maestro and Handicraft skills.…","Horn Maestro Equipment Skills","3","Rarity 5","250 z"
"","Sonorous/KO Jewel [3]","A decoration that grants the Horn Maestro and Slugger skills.…","Horn Maestro Equipment Skills","3","Rarity 5","250 z"
"","Charge Up Jewel [2]","A decoration that grants the Charge Up skill.","Charge Up Equipment Skills","2","Rarity 4","200 z"
"","Charge Up/Attack Jwl [3]","A decoration that grants the Charge Up and Attack Boost skills.…","Charge Up Equipment Skills","3","Rarity 5","250 z"
"","Charge Up/Expert Jwl [3]","A decoration that grants the Charge Up and Critical Eye skills.…","Charge Up Equipment Skills","3","Rarity 5","250 z"
"","Charge Up/Draw Jwl [3]","A decoration that grants the Charge Up and Critical Draw skills.…","Charge Up Equipment Skills","3","Rarity 5","250 z"
,,,,,,
"","Charge Up/Handicraft Jwl [3]","A decoration that grants the Charge Up and Handicraft skills.…","Charge Up Equipment Skills","3","Rarity 5","250 z"
"","Charge Up/KO Jewel [3]","A decoration that grants the Charge Up and Slugger skills.","Charge Up Equipment Skills","3","Rarity 5","250 z"
"","Flight Jewel [2]","A decoration that grants the Airborne skill.","Airborne Equipment Skills","2","Rarity 4","200 z"
"","Flight/Attack Jwl [3]","A decoration that grants the Airborne and Attack Boost skills.…","Airborne Equipment Skills","3","Rarity 5","250 z"
"","Flight/Expert Jewel [3]","A decoration that grants the Airborne and Critical Eye skills.…","Airborne Equipment Skills","3","Rarity 5","250 z"
"","Flight/Draw Jewel [3]","A decoration that grants the Airborne and Critical Draw skills.…","Airborne Equipment Skills","3","Rarity 5","250 z"
"","Flight/Handicraft Jwl [3]","A decoration that grants the Airborne and Handicraft skills.…","Airborne Equipment Skills","3","Rarity 5","250 z"
"","Poison Jewel [2]","A decoration that grants the Poison Duration Up skill.","Poison Duration Up Equipment Skills","2","Rarity 5","250 z"
"","Poison/Attack Jewel [3]","A decoration that grants the Poison Duration Up and Attack Boost…","Poison Duration Up Equipment Skills","3","Rarity 6","300 z"
"","Poison/Expert Jwl [3]","A decoration that grants the Poison Duration Up and Critical…","Poison Duration Up Equipment Skills","3","Rarity 6","300 z"
"","Poison/Draw Jewel [3]","A decoration that grants the Poison Duration Up and Critical…","Poison Duration Up Equipment Skills","3","Rarity 6","300 z"
"","Poison/Handicraft Jwl [3]","A decoration that grants the Poison Duration Up and Handicraft…","Poison Duration Up Equipment Skills","3","Rarity 6","300 z"
,,,,,,
"","Poison/Precise Jwl [3]","A decoration that grants the Poison Duration Up and Ballistics…","Poison Duration Up Equipment Skills","3","Rarity 6","300 z"
"","Poison/KO Jewel [3]","A decoration that grants the Poison Duration Up and Slugger skills.…","Poison Duration Up Equipment Skills","3","Rarity 6","300 z"
"","Poison/Ironwall Jwl [3]","A decoration that grants the Poison Duration Up and Guard skills.…","Poison Duration Up Equipment Skills","3","Rarity 6","300 z"
"","Ironwall Jewel [1]","A decoration that grants the Guard skill.","Guard Equipment Skills","1","Rarity 3","150 z"
"","Ironwall Jewel II [2]","A decoration that grants the Guard skill.","Guard Equipment Skills","2","Rarity 4","200 z"
"","Ironwall Jewel III [3]","A decoration that grants the Guard skill.","Guard Equipment Skills","3","Rarity 5","250 z"
"","Shield Jewel [1]","A decoration that grants the Guard Up skill.","Guard Up Equipment Skills","1","Rarity 3","150 z"
"","Shield Jewel II [2]","A decoration that grants the Guard Up skill.","Guard Up Equipment Skills","2","Rarity 4","200 z"
"","Shield Jewel III [3]","A decoration that grants the Guard Up skill.","Guard Up Equipment Skills","3","Rarity 5","250 z"
"","Shield/Blaze Jewel [3]","A decoration that grants the Guard Up and Fire Attack skills.…","Guard Up Equipment Skills","3","Rarity 6","300 z"
"","Shield/Stream Jewel [3]","A decoration that grants the Guard Up and Water Attack skills.…","Guard Up Equipment Skills","3","Rarity 6","300 z"
"","Shield/Frost Jewel [3]","A decoration that grants the Guard Up and Ice Attack skills.…","Guard Up Equipment Skills","3","Rarity 6","300 z"
,,,,,,
"","Shield/Bolt Jewel [3]","A decoration that grants the Guard Up and Thunder Attack skills.…","Guard Up Equipment Skills","3","Rarity 6","300 z"
"","Shield/Dragon Jwl [3]","A decoration that grants the Guard Up and Dragon Attack skills.…","Guard Up Equipment Skills","3","Rarity 6","300 z"
"","Shield/Handicraft Jwl [3]","A decoration that grants the Guard Up and Handicraft skills.…","Guard Up Equipment Skills","3","Rarity 6","300 z"
"","Shield/Ironwall Jwl [3]","A decoration that grants the Guard Up and Guard skills.","Guard Up Equipment Skills","3","Rarity 6","300 z"
"","Magazine Jewel [1]","A decoration that grants the Load Shells skill.","Load Shells Equipment Skills","1","Rarity 3","150 z"
"","Magazine Jewel II [2]","A decoration that grants the Load Shells skill.","Load Shells Equipment Skills","2","Rarity 4","200 z"
"","Magazine/Attack Jwl [3]","A decoration that grants the Load Shells and Attack Boost skills.…","Load Shells Equipment Skills","3","Rarity 5","250 z"
"","Magazine/Expert Jwl [3]","A decoration that grants the Load Shells and Critical Eye skills.…","Load Shells Equipment Skills","3","Rarity 5","250 z"
"","Magazine/Draw Jwl [3]","A decoration that grants the Load Shells and Critical Draw skills.…","Load Shells Equipment Skills","3","Rarity 5","250 z"
"","Magazine/Handicraft Jwl [3]","A decoration that grants the Load Shells and Handicraft skills.…","Load Shells Equipment Skills","3","Rarity 5","250 z"
"","Magazine/Ironwall Jwl [3]","A decoration that grants the Load Shells and Guard skills.","Load Shells Equipment Skills","3","Rarity 5","250 z"
"","Grinder Jewel [1]","A decoration that grants the Speed Sharpening skill.","Speed Sharpening Equipment Skills","1","Rarity 3","150 z"
,,,,,,
"","Grinder Jewel II [2]","A decoration that grants the Speed Sharpening skill.","Speed Sharpening Equipment Skills","2","Rarity 4","200 z"
"","Grinder/Attack Jewel [3]","A decoration that grants the Speed Sharpening and Attack Boost…","Speed Sharpening Equipment Skills","3","Rarity 5","250 z"
"","Grinder/Expert Jewel [3]","A decoration that grants the Speed Sharpening and Critical Eye…","Speed Sharpening Equipment Skills","3","Rarity 5","250 z"
"","Grinder/Draw Jewel [3]","A decoration that grants the Speed Sharpening and Critical Draw…","Speed Sharpening Equipment Skills","3","Rarity 5","250 z"
"","Grinder/Handicraft Jwl [3]","A decoration that grants the Speed Sharpening and Handicraft…","Speed Sharpening Equipment Skills","3","Rarity 5","250 z"
"","Grinder/KO Jewel [3]","A decoration that grants the Speed Sharpening and Slugger skills.…","Speed Sharpening Equipment Skills","3","Rarity 5","250 z"
"","Grinder/Ironwall Jewel [3]","A decoration that grants the Speed Sharpening and Guard skills.…","Speed Sharpening Equipment Skills","3","Rarity 5","250 z"
