"Icon","Title","Description","Crafting Recipe","Where to Find","Other Info","Rewarded From","Used to Craft","Unlocks","Food Bonus","Food Skill","Rarity","Carry Max","Sell Price","Buy Price"
"","Quematrice Crest+","The large crest of a Quematrice. Colored an angry red and shaken…","","","","","Defense Charm III Level 3 Felyne Quema Helm α Head Impact Charm III Level 3 Power Charm I Level 1 Quematrice Arco III Bow Quematrice Braces α Arms Quematrice Braces β Arms Quematrice Coil α Waist Quematrice Coil β Waist Quematrice Cuchillo III Sword and Shield Quematrice Culebrina III Gunlance Quematrice Espada III Great Sword Quematrice Lanza III Lance Quematrice Lima III Long Sword Quematrice Mail α Chest Quematrice Mail β Chest Quematrice Silexes III Dual Blades","","","","Rarity 6","99","1,914 z","19,140 z"
"","Quematrice Certificate S","A Guild certificate awarded to those who have hunted a Quematrice.…","","","","","Quematrice Arco III Bow Quematrice Coil α Waist Quematrice Coil β Waist Quematrice Cuchillo III Sword and Shield Quematrice Culebrina III Gunlance Quematrice Espada III Great Sword Quematrice Helm α Head Quematrice Helm β Head Quematrice Lanza III Lance Quematrice Lima III Long Sword Quematrice Mail α Chest Quematrice Mail β Chest Quematrice Silexes III Dual Blades","Felyne Matrice Spear α Weapons Felyne Quema Helm α Head Felyne Quema Mail α Body","","","Rarity 6","99","870 z","8,700 z"
"","Lala Barina Floret+","High-quality hair from a Lala Barina. Its delicate, transparent…","","","","","Barina Bouclier IV Charge Blade Barina Coil α Waist Barina Coil β Waist Barina Dague IV Sword and Shield Barina Faucilles IV Dual Blades Barina Flamberge IV Long Sword Barina Greaves α Legs Barina Greaves β Legs Barina Hache IV Switch Axe Barina Mail α Chest Barina Mail β Chest Barina Perche IV Insect Glaive Barina Sarissa IV Lance Cancadaman Kinsects Commission Mail α Chest Felyne Barina Wig α Head Jail Hammer IV Hammer Ladypavise Kinsects Paralysis Charm III Level 3 Paretic Blade IV Great Sword Paretic Gunlance IV Gunlance Recovery Charm III Level 3 Survival Charm II Level 2","Recovery Charm III Level 3 Survival Charm II Level 2","","","Rarity 6","99","900 z","9,000 z"
"","Lala Barina Carapace","The hard carapace of a Lala Barina. A bit of polish will make…","","","","","Barina Headgear α Head Barina Headgear β Head Barina Mail α Chest Barina Mail β Chest Binder Mace Hammer Debilitating Torpor Gunlance Destructive Torpor Great Sword Felyne Barina Dress α Body Lala Acanthopelm Sword and Shield Lala Aviculari Lance Lala Eumenophor Charge Blade Lala Harpactirs Dual Blades Lala Ornithocton Long Sword Lala Selenocosmi Switch Axe Lala Stromatopelm Insect Glaive Survival Charm II Level 2","","","","Rarity 6","99","1,350 z","13,500 z"
"","Lala Barina Claw+","A sharp claw from a Lala Barina. The deep crimson tip mirrors…","","","","","Barina Bouclier III Charge Blade Barina Dague III Sword and Shield Barina Faucilles III Dual Blades Barina Flamberge III Long Sword Barina Hache III Switch Axe Barina Headgear α Head Barina Headgear β Head Barina Perche III Insect Glaive Barina Sarissa III Lance Barina Vambraces α Arms Barina Vambraces β Arms Felyne Barina Needle α Weapons Jail Hammer III Hammer Leaping Charm II Level 2 Paretic Blade III Great Sword Paretic Gunlance III Gunlance","","","","Rarity 6","99","1,620 z","16,200 z"
,,,,,,,,,,,,,,
"","Lala Barina Stinger+","The razor-sharp stinger of a Lala Barina. Capable of piercing…","","","","","Barina Bouclier IV Charge Blade Barina Dague IV Sword and Shield Barina Faucilles IV Dual Blades Barina Flamberge IV Long Sword Barina Hache IV Switch Axe Barina Mail α Chest Barina Mail β Chest Barina Perche IV Insect Glaive Barina Sarissa IV Lance Barina Vambraces α Arms Barina Vambraces β Arms Counterattack Charm I Level 1 Jail Hammer IV Hammer Paretic Blade IV Great Sword Paretic Gunlance IV Gunlance","","","","Rarity 6","99","1,800 z","18,000 z"
"","Lala Barina Certificate S","A Guild certificate awarded to those who have hunted a Lala Barina.…","","","","","Barina Bouclier III Charge Blade Barina Dague III Sword and Shield Barina Faucilles III Dual Blades Barina Flamberge III Long Sword Barina Greaves α Legs Barina Greaves β Legs Barina Hache III Switch Axe Barina Headgear α Head Barina Headgear β Head Barina Perche III Insect Glaive Barina Sarissa III Lance Barina Vambraces α Arms Barina Vambraces β Arms Jail Hammer III Hammer Paretic Blade III Great Sword Paretic Gunlance III Gunlance Sonic Horn III Hunting Horn","Felyne Barina Dress α Body Felyne Barina Needle α Weapons Felyne Barina Wig α Head","","","Rarity 6","99","900 z","9,000 z"
"","Balahara Certificate","A Guild certificate awarded to those who have hunted a Balahara.…","","","","","Balahara Coil Waist","Felyne Balahara Drill Weapons Felyne Balahara Helm Head Felyne Balahara Mech Body","","","Rarity 4","99","320 z","3,200 z"
"","Balahara Scale+","A high-quality Balahara scale. Thick and durable enough to carve…","","","","","Balahara Greaves α Legs Balahara Greaves β Legs Balahara Mail α Chest Balahara Mail β Chest Balahara Vambraces α Arms Balahara Vambraces β Arms Blight Charm I Level 1 Commission Vambraces α Arms Felyne Balahara Helm α Head Geology Charm III Level 3 Guard Charm II Level 2 Sandsea Ghantisil Hunting Horn Sandsea Katduva Sword and Shield Sandsea Prallaya Lance Sandsea Siamitiya Hammer Sandsea Uchaltiya Insect Glaive Sandsea Visponan Gunlance Water Charm III Level 3","Balahara Coil α Waist Balahara Coil β Waist Balahara Greaves α Legs Balahara Greaves β Legs Balahara Helm α Head Balahara Helm β Head Balahara Mail α Chest Balahara Mail β Chest Balahara Vambraces α Arms Balahara Vambraces β Arms Breaker Charm I Level 1 Geology Charm III Level 3 Guard Charm II Level 2","","","Rarity 6","99","1,020 z","10,200 z"
"","Balahara Carapace","A hard Balahara carapace. A quality material from a specimen…","","","","","Balahara Blade IV Sword and Shield Balahara Exploder IV Gunlance Balahara Glaive IV Insect Glaive Balahara Greaves α Legs Balahara Greaves β Legs Balahara Hammer IV Hammer Balahara Helm α Head Balahara Helm β Head Balahara Horn IV Hunting Horn Balahara Lance IV Lance Balahara Vambraces α Arms Balahara Vambraces β Arms Felyne Balahara Mech α Body Leaping Charm II Level 2 Stun Charm III Level 3 Tremor Charm II Level 2 Water Charm III Level 3","Leaping Charm II Level 2 Stun Charm III Level 3 Tremor Charm II Level 2 Water Charm III Level 3","","","Rarity 6","99","1,530 z","15,300 z"
"","Balahara Skull+","A Balahara’s pointy skull. An incredibly tough shell that digs…","","","","","Balahara Blade III Sword and Shield Balahara Coil α Waist Balahara Coil β Waist Balahara Exploder III Gunlance Balahara Glaive III Insect Glaive Balahara Hammer III Hammer Balahara Helm α Head Balahara Helm β Head Balahara Horn III Hunting Horn Balahara Lance III Lance Balahara Mail α Chest Balahara Mail β Chest Balahara Vambraces α Arms Balahara Vambraces β Arms Breaker Charm I Level 1 Felyne Balahara Drill α Weapons Geology Charm III Level 3 Guard Charm II Level 2 Stun Charm III Level 3","","","","Rarity 6","99","1,836 z","18,360 z"
"","Balahara Certificate S","A Guild certificate awarded to those who have hunted a Balahara.…","","","","","Balahara Blade III Sword and Shield Balahara Coil α Waist Balahara Coil β Waist Balahara Exploder III Gunlance Balahara Glaive III Insect Glaive Balahara Greaves α Legs Balahara Greaves β Legs Balahara Hammer III Hammer Balahara Helm α Head Balahara Helm β Head Balahara Horn III Hunting Horn Balahara Lance III Lance Uth Dalgap II Heavy Bowgun Uth Falarmata II Gunlance Uth Khlunda II Long Sword Uth Khviluk II Bow Uth Ngarpatu II Dual Blades Uth Olacha II Switch Axe Uth Valeroje II Charge Blade","Balahara Blade III Sword and Shield Balahara Exploder III Gunlance Balahara Glaive III Insect Glaive Balahara Hammer III Hammer Balahara Horn III Hunting Horn Balahara Lance III Lance Felyne Balahara Drill α Weapons Felyne Balahara Helm α Head Felyne Balahara Mech α Body Uth Dalgap II Heavy Bowgun Uth Falarmata II Gunlance Uth Khlunda II Long Sword Uth Khviluk II Bow Uth Ngarpatu II Dual Blades Uth Olacha II Switch Axe Uth Valeroje II Charge Blade","","","Rarity 6","99","1,020 z","10,200 z"
"","Doshaguma Certificate","A Guild certificate awarded to those who have hunted a Doshaguma.…","","","","","Doshaguma Greaves Legs","F Doshaguma Helm Head F Doshaguma Knuckle Weapons F Doshaguma Mail Body","","","Rarity 4","99","380 z","3,800 z"
"","Doshaguma Fur+","High-quality Doshaguma fur. So accustomed to harsh climes that…","","","","","Commission Coil α Waist Doshaguma Braces α Arms Doshaguma Braces β Arms Doshaguma Coil α Waist Doshaguma Coil β Waist Doshaguma Greaves α Legs Doshaguma Greaves β Legs F Doshaguma Helm α Head Light Eater's Charm III Level 3","Doshaguma Braces α Arms Doshaguma Braces β Arms Doshaguma Coil α Waist Doshaguma Coil β Waist Doshaguma Greaves α Legs Doshaguma Greaves β Legs Doshaguma Helm α Head Doshaguma Helm β Head Doshaguma Mail α Chest Doshaguma Mail β Chest Light Eater's Charm III Level 3","","","Rarity 6","99","1,300 z","13,000 z"
"","Doshaguma Hide+","High-quality Doshaguma hide. Its thick, comfortable weight gives…","","","","","Doshaguma Greaves α Legs Doshaguma Greaves β Legs Doshaguma Mail α Chest Doshaguma Mail β Chest F Doshaguma Mail α Body Faithbreaker Leibolkule Light Bowgun Farsounder Honga Hunting Horn Fastflayers Jambastra Dual Blades Fatecleaver Kimkemush Long Sword Fearbringer Callistox Bow Fellslayer Dangeom Great Sword Fierceborer Dubhanith Lance Fleshhacker Yaogahaac Switch Axe","","","","Rarity 6","99","1,950 z","19,500 z"
"","Doshaguma Claw+","A sharp Doshaguma claw. One poke pierces skin, and one swipe…","","","","","Dosha Faithbreaker III Light Bowgun Dosha Farsounder III Hunting Horn Dosha Fastflayers III Dual Blades Dosha Fatecleaver III Long Sword Dosha Fearbringer III Bow Dosha Fellslayer III Great Sword Dosha Fierceborer III Lance Dosha Fleshhacker III Switch Axe Doshaguma Braces α Arms Doshaguma Braces β Arms Doshaguma Coil α Waist Doshaguma Coil β Waist Doshaguma Greaves α Legs Doshaguma Greaves β Legs Light Eater's Charm III Level 3 Marathon Charm III Level 3","","","","Rarity 6","99","2,340 z","23,400 z"
"","Doshaguma Fang+","A sharp Doshaguma fang. Proof of its owner’s feral nature in…","","","","","Dosha Faithbreaker III Light Bowgun Dosha Farsounder III Hunting Horn Dosha Fastflayers III Dual Blades Dosha Fatecleaver III Long Sword Dosha Fearbringer III Bow Dosha Fellslayer III Great Sword Dosha Fierceborer III Lance Dosha Fleshhacker III Switch Axe Doshaguma Braces α Arms Doshaguma Braces β Arms Doshaguma Helm α Head Doshaguma Helm β Head Doshaguma Mail α Chest Doshaguma Mail β Chest F Doshaguma Knuckle α Weapons Surge Charm III Level 3","","","","Rarity 6","99","2,860 z","28,600 z"
,,,,,,,,,,,,,,
"","Doshaguma Certificate S","A Guild certificate awarded to those who have hunted a Doshaguma.…","","","","","Dosha Faithbreaker III Light Bowgun Dosha Farsounder III Hunting Horn Dosha Fastflayers III Dual Blades Dosha Fatecleaver III Long Sword Dosha Fearbringer III Bow Dosha Fellslayer III Great Sword Dosha Fierceborer III Lance Dosha Fleshhacker III Switch Axe Doshaguma Coil α Waist Doshaguma Coil β Waist Doshaguma Helm α Head Doshaguma Helm β Head Doshaguma Mail α Chest Doshaguma Mail β Chest","Dosha Faithbreaker III Light Bowgun Dosha Farsounder III Hunting Horn Dosha Fastflayers III Dual Blades Dosha Fatecleaver III Long Sword Dosha Fearbringer III Bow Dosha Fellslayer III Great Sword Dosha Fierceborer III Lance Dosha Fleshhacker III Switch Axe F Doshaguma Helm α Head F Doshaguma Knuckle α Weapons F Doshaguma Mail α Body","","","Rarity 6","99","1,300 z","13,000 z"
"","Uth Duna Scale","A scale from an Uth Duna. Glistens in a kaleidoscope of colors.…","","","","","Duna Coil Waist Duna Greaves Legs Duna Helm Head Felyne Duna Cape Body Maintenance Charm I Level 1 Water Charm II Level 2","","","","Rarity 4","99","600 z","6,000 z"
"","Uth Duna Hide","The hide of an Uth Duna. Highly prized for its density and spectacularly…","","","","","Duna Greaves Legs Duna Vambraces Arms","","","","Rarity 4","99","900 z","9,000 z"
"","Uth Duna Cilia","Extremely fine hair from an Uth Duna. When woven together, it…","","","","","Duna Coil Waist Duna Mail Chest Felyne Duna Mask Head Maintenance Charm I Level 1 Uth Dalgap I Heavy Bowgun Uth Falarmata I Gunlance Uth Khlunda I Long Sword Uth Khviluk I Bow Uth Ngarpatu I Dual Blades Uth Olacha I Switch Axe Uth Valeroje I Charge Blade Water Charm II Level 2","","","","Rarity 4","99","1,080 z","10,800 z"
"","Uth Duna Tentacle","A tentacle from the back of an Uth Duna. Covered in a gelatinous…","","","","","Blessing Charm II Level 2 Duna Mail Chest Duna Vambraces Arms","","","","Rarity 4","99","1,200 z","12,000 z"
"","Uth Duna Claw","A claw from an Uth Duna. Its curvature helps to anchor it against…","","","","","Duna Greaves Legs Duna Mail Chest Felyne Duna Spear Weapons Uth Dalgap I Heavy Bowgun Uth Falarmata I Gunlance Uth Khlunda I Long Sword Uth Khviluk I Bow Uth Ngarpatu I Dual Blades Uth Olacha I Switch Axe Uth Valeroje I Charge Blade","","","","Rarity 4","99","1,200 z","12,000 z"
"","Uth Duna Plate","A rare plate from an Uth Duna. Hailed as a symbol of Plenty due…","","","","","Duna Helm Head Duna Wildcoil α Waist Duna Wildcoil β Waist Uth Dalgap III Heavy Bowgun Uth Falarmata III Gunlance Uth Khlunda III Long Sword Uth Khviluk III Bow Uth Ngarpatu III Dual Blades Uth Olacha III Switch Axe Uth Valeroje III Charge Blade","","","","Rarity 5","99","3,600 z","36,000 z"
"","Uth Duna Certificate","A Guild certificate awarded to those who have hunted an Uth Duna.…","","","","","Duna Helm Head Uth Dalgap I Heavy Bowgun Uth Falarmata I Gunlance Uth Khlunda I Long Sword Uth Khviluk I Bow Uth Ngarpatu I Dual Blades Uth Olacha I Switch Axe Uth Valeroje I Charge Blade","Felyne Duna Cape Body","","","Rarity 4","99","600 z","6,000 z"
"","Uth Duna Scale+","A high-quality scale from an Uth Duna. Thin grooves allow it…","","","","","Duna Wildbraces α Arms Duna Wildbraces β Arms Duna Wildhelm α Head Duna Wildhelm β Head Duna Wildmail α Chest Duna Wildmail β Chest Felyne Duna Cape α Body Maintenance Charm III Level 3","Duna Wildbraces α Arms Duna Wildbraces β Arms Duna Wildcoil α Waist Duna Wildcoil β Waist Duna Wildgreaves α Legs Duna Wildgreaves β Legs Duna Wildhelm α Head Duna Wildhelm β Head Duna Wildmail α Chest Duna Wildmail β Chest","","","Rarity 6","99","2,350 z","23,500 z"
"","Uth Duna Hide+","A high-quality hide from an Uth Duna. Its pattern holds an almost…","","","","","Dalgap-of-the-Waves Heavy Bowgun Duna Wildgreaves α Legs Duna Wildgreaves β Legs Duna Wildmail α Chest Duna Wildmail β Chest Falarmata-of-the-Waves Gunlance Khlunda-of-the-Waves Long Sword Khviluk-of-the-Waves Bow Ngarpatu-of-the-Waves Dual Blades Olacha-of-the-Waves Switch Axe Valeroje-of-the-Waves Charge Blade","","","","Rarity 6","99","3,525 z","35,250 z"
"","Uth Duna Cilia+","High-quality Uth Duna hair. Weak to cutting force, but can hold…","","","","","Duna Wildbraces α Arms Duna Wildbraces β Arms Duna Wildhelm α Head Duna Wildhelm β Head Duna Wildmail α Chest Duna Wildmail β Chest Felyne Duna Mask α Head Uth Dalgap III Heavy Bowgun Uth Falarmata III Gunlance Uth Khlunda III Long Sword Uth Khviluk III Bow Uth Ngarpatu III Dual Blades Uth Olacha III Switch Axe Uth Valeroje III Charge Blade","","","","Rarity 6","99","4,230 z","42,300 z"
"","Uth Duna Tentacle+","An elegant and flexible tentacle from an Uth Duna. A membrane…","","","","","Dalgap-of-the-Waves Heavy Bowgun Duna Wildcoil α Waist Duna Wildcoil β Waist Duna Wildgreaves α Legs Duna Wildgreaves β Legs Falarmata-of-the-Waves Gunlance Khlunda-of-the-Waves Long Sword Khviluk-of-the-Waves Bow Maintenance Charm III Level 3 Ngarpatu-of-the-Waves Dual Blades Olacha-of-the-Waves Switch Axe Valeroje-of-the-Waves Charge Blade","","","","Rarity 6","99","4,700 z","47,000 z"
,,,,,,,,,,,,,,
"","Uth Duna Claw+","A sharp claw from an Uth Duna. Heavy enough to easily crush even…","","","","","Duna Wildbraces α Arms Duna Wildbraces β Arms Duna Wildcoil α Waist Duna Wildcoil β Waist Felyne Duna Spear α Weapons Uth Dalgap III Heavy Bowgun Uth Falarmata III Gunlance Uth Khlunda III Long Sword Uth Khviluk III Bow Uth Ngarpatu III Dual Blades Uth Olacha III Switch Axe Uth Valeroje III Charge Blade","","","","Rarity 6","99","4,700 z","47,000 z"
"","Uth Duna Watergem","A rare jewel that developed within an Uth Duna. Said to wield…","","","","","Challenger Charm II Level 2 Dalgap-of-the-Waves Heavy Bowgun Duna Wildhelm α Head Duna Wildhelm β Head Falarmata-of-the-Waves Gunlance G. Arkveld Helm α Head G. Arkveld Helm β Head Khlunda-of-the-Waves Long Sword Khviluk-of-the-Waves Bow Maintenance Charm III Level 3 Master Sabers Dual Blades Mushroom Charm III Level 3 Ngarpatu-of-the-Waves Dual Blades Olacha-of-the-Waves Switch Axe Sandsea Ghantisil Hunting Horn Sandsea Katduva Sword and Shield Sandsea Prallaya Lance Sandsea Siamitiya Hammer Sandsea Uchaltiya Insect Glaive Sandsea Visponan Gunlance Valeroje-of-the-Waves Charge Blade","","","","Rarity 7","99","14,100 z","141,000 z"
"","Uth Duna Certificate S","A Guild certificate awarded to those who have hunted an Uth Duna.…","","","","","Balahara Blade IV Sword and Shield Balahara Exploder IV Gunlance Balahara Glaive IV Insect Glaive Balahara Hammer IV Hammer Balahara Horn IV Hunting Horn Balahara Lance IV Lance Chata Clobberer IV Hammer Chata Club IV Sword and Shield Chata Glaive IV Insect Glaive Chata Sheller IV Heavy Bowgun Chata Strongarm IV Charge Blade Duna Wildcoil α Waist Duna Wildcoil β Waist Duna Wildgreaves α Legs Duna Wildgreaves β Legs Duna Wildhelm α Head Duna Wildhelm β Head Uth Dalgap III Heavy Bowgun Uth Falarmata III Gunlance Uth Khlunda III Long Sword Uth Khviluk III Bow Uth Ngarpatu III Dual Blades Uth Olacha III Switch Axe Uth Valeroje III Charge Blade","Balahara Blade IV Sword and Shield Balahara Exploder IV Gunlance Balahara Glaive IV Insect Glaive Balahara Hammer IV Hammer Balahara Horn IV Hunting Horn Balahara Lance IV Lance Chata Clobberer IV Hammer Chata Club IV Sword and Shield Chata Glaive IV Insect Glaive Chata Sheller IV Heavy Bowgun Chata Strongarm IV Charge Blade Felyne Duna Cape α Body Felyne Duna Mask α Head Felyne Duna Spear α Weapons Uth Dalgap III Heavy Bowgun Uth Falarmata III Gunlance Uth Khlunda III Long Sword Uth Khviluk III Bow Uth Ngarpatu III Dual Blades Uth Olacha III Switch Axe Uth Valeroje III Charge Blade","","","Rarity 6","99","2,350 z","23,500 z"
"","Rompopolo Hide","A Rompopolo hide. It returns to its original shape even if stretched…","","","","","Alucanid Kinsects F Rompopolo Suit Body Foebeetle Kinsects Friendship Charm I Level 1 Rompo Hacker I Long Sword Rompo Piercer I Lance Rompo Shielder I Charge Blade Rompo Sniper I Heavy Bowgun Rompo Wrecker I Hammer Rompopolo Coil Waist Rompopolo Helm Head Rompopolo Mail Chest Thunder Charm I Level 1","","","","Rarity 4","99","360 z","3,600 z"
"","Rompopolo Claw","A claw from a Rompopolo. Developed for the specific purpose of…","","","","","Chata Clobberer II Hammer Chata Club II Sword and Shield Chata Glaive II Insect Glaive Chata Sheller II Heavy Bowgun Chata Strongarm II Charge Blade F Rompopolo Blaster Weapons Geology Charm II Level 2 Poison Charm I Level 1 Rompo Hacker I Long Sword Rompo Piercer I Lance Rompo Shielder I Charge Blade Rompo Sniper I Heavy Bowgun Rompo Wrecker I Hammer Rompopolo Greaves Legs Rompopolo Helm Head","","","","Rarity 4","99","540 z","5,400 z"
"","Spotted Poison Hide","A poisonous hide from a Rompopolo. The vibrant speckles warn…","","","","","Extension Charm II Level 2 Foray Charm I Level 1 Friendship Charm I Level 1 Recovery Charm II Level 2 Rompopolo Coil Waist Rompopolo Mail Chest Rompopolo Vambraces Arms Thunder Charm I Level 1","","","","Rarity 4","99","648 z","6,480 z"
"","Rompopolo Beak","The beak of a Rompopolo. Its disturbing shape evokes an indescribable…","","","","","F Rompopolo Brain Head Geology Charm II Level 2 Poison Charm I Level 1 Rompopolo Greaves Legs Rompopolo Helm Head Rompopolo Vambraces Arms","","","","Rarity 4","99","792 z","7,920 z"
"","Rompopolo Certificate","A Guild certificate awarded to those who have hunted a Rompopolo.…","","","","","Rompopolo Coil Waist","F Rompopolo Blaster Weapons F Rompopolo Brain Head F Rompopolo Suit Body","","","Rarity 4","99","360 z","3,600 z"
"","Rompopolo Hide+","A high-quality Rompopolo hide. Can expand to extreme lengths…","","","","","F Rompopolo Suit α Body Rompopolo Coil α Waist Rompopolo Coil β Waist Rompopolo Mail α Chest Rompopolo Mail β Chest Rompopolo Vambraces α Arms Rompopolo Vambraces β Arms Thunder Charm III Level 3","Poison Charm III Level 3 Sheathe Charm II Level 2 Thunder Charm III Level 3","","","Rarity 6","99","990 z","9,900 z"
"","Rompopolo Claw+","A sharp claw from a Rompopolo. Perfectly suited to piercing vitals…","","","","","F Rompopolo Blaster α Weapons Poison Charm III Level 3 Rompo Hacker II Long Sword Rompo Piercer II Lance Rompo Shielder II Charge Blade Rompo Sniper II Heavy Bowgun Rompo Wrecker II Hammer Rompopolo Helm α Head Rompopolo Helm β Head Rompopolo Vambraces α Arms Rompopolo Vambraces β Arms","","","","Rarity 6","99","1,485 z","14,850 z"
"","Spotted Poison Hide+","A highly poisonous hide from a Rompopolo. The more striking the…","","","","","Friendship Charm IV Level 4 Rompo Hacker III Long Sword Rompo Piercer III Lance Rompo Shielder III Charge Blade Rompo Sniper III Heavy Bowgun Rompo Wrecker III Hammer Rompopolo Coil α Waist Rompopolo Coil β Waist Rompopolo Mail α Chest Rompopolo Mail β Chest Rompopolo Vambraces α Arms Rompopolo Vambraces β Arms Sheathe Charm II Level 2 Thunder Charm III Level 3","","","","Rarity 6","99","1,782 z","17,820 z"
"","Rompopolo Beak+","A large beak from a Rompopolo. Its sharp point and gentle curve…","","","","","F Rompopolo Brain α Head Fury Charm I Level 1 Rompo Dendrotox Charge Blade Rompo Latrotox Heavy Bowgun Rompo Mytoxin Long Sword Rompo Robustox Hammer Rompo Tetrotox Lance Rompopolo Greaves α Legs Rompopolo Greaves β Legs Rompopolo Helm α Head Rompopolo Helm β Head Rompopolo Vambraces α Arms Rompopolo Vambraces β Arms Sheathe Charm II Level 2 Speed Heal Charm III Level 3","","","","Rarity 6","99","2,178 z","21,780 z"
"","Rompopolo Certificate S","A Guild certificate awarded to those who have hunted a Rompopolo.…","","","","","Rompo Hacker II Long Sword Rompo Piercer II Lance Rompo Shielder II Charge Blade Rompo Sniper II Heavy Bowgun Rompo Wrecker II Hammer Rompopolo Coil α Waist Rompopolo Coil β Waist Rompopolo Greaves α Legs Rompopolo Greaves β Legs Rompopolo Helm α Head Rompopolo Helm β Head","F Rompopolo Blaster α Weapons F Rompopolo Brain α Head F Rompopolo Suit α Body","","","Rarity 6","99","990 z","9,900 z"
"","Rey Dau Certificate","A Guild certificate awarded to those who have hunted a Rey Dau.…","","","","","Rey Sandgreaves Legs","Felyne Dau Armor Body","","","Rarity 4","99","620 z","6,200 z"
"","Rey Dau Scale+","A high-quality Rey Dau scale. Constant exposure to the Sandtide…","","","","","Felyne Dau Armor α Body Rey Sandbraces α Arms Rey Sandbraces β Arms Rey Sandcoil α Waist Rey Sandcoil β Waist Rey Sandgreaves α Legs Rey Sandgreaves β Legs","Breaker Charm II Level 2 Rey Sandbraces α Arms Rey Sandbraces β Arms Rey Sandcoil α Waist Rey Sandcoil β Waist Rey Sandgreaves α Legs Rey Sandgreaves β Legs Rey Sandhelm α Head Rey Sandhelm β Head Rey Sandmail α Chest Rey Sandmail β Chest","","","Rarity 6","99","2,400 z","24,000 z"
"","Rey Dau Carapace","The tough carapace of a Rey Dau. Its complex but consistent pattern…","","","","","Astrapi Clairaxe Charge Blade Halilintar Clairglaive Insect Glaive Indra Clairlance Lance Kuara Clairsword Sword and Shield Perkonis Clairbow Bow Perun Clairhorn Hunting Horn Rey Sandcoil α Waist Rey Sandcoil β Waist Rey Sandhelm α Head Rey Sandhelm β Head Szelatya Clairgun Light Bowgun Tonitrus Clairblade Long Sword","","","","Rarity 6","99","3,600 z","36,000 z"
"","Rey Dau Bolthorn","A Rey Dau horn crackling with lightning. Durable enough to sustain…","","","","","Astrapi Clairaxe Charge Blade Breaker Charm II Level 2 Felyne Dau Helm α Head Grit Charm III Level 3 Halilintar Clairglaive Insect Glaive Indra Clairlance Lance Kuara Clairsword Sword and Shield Perkonis Clairbow Bow Perun Clairhorn Hunting Horn Rey Sandgreaves α Legs Rey Sandgreaves β Legs Rey Sandhelm α Head Rey Sandhelm β Head Rey Sandmail α Chest Rey Sandmail β Chest Szelatya Clairgun Light Bowgun Tonitrus Clairblade Long Sword","","","","Rarity 6","99","5,280 z","52,800 z"
"","Rey Dau Fulgurtalon","A Rey Dau wingtalon with an azure glow. Coated with pure, razor-sharp…","","","","","Felyne Dau Naginata α Weapons Rey Astrapi III Charge Blade Rey Halilintar III Insect Glaive Rey Indra III Lance Rey Kuara III Sword and Shield Rey Perkonis III Bow Rey Perun III Hunting Horn Rey Sandbraces α Arms Rey Sandbraces β Arms Rey Sandcoil α Waist Rey Sandcoil β Waist Rey Sandgreaves α Legs Rey Sandgreaves β Legs Rey Szelatya III Light Bowgun Rey Tonitrus III Long Sword","","","","Rarity 6","99","4,800 z","48,000 z"
"","Rey Dau Boltgem","A rare jewel that developed within a Rey Dau. Said to wield the…","","","","","Astrapi Clairaxe Charge Blade G. Arkveld Coil α Waist G. Arkveld Coil β Waist Halilintar Clairglaive Insect Glaive Indra Clairlance Lance Kuara Clairsword Sword and Shield Mighty Charm II Level 2 Perkonis Clairbow Bow Perun Clairhorn Hunting Horn Power Charm II Level 2 Rey Sandbraces α Arms Rey Sandbraces β Arms Szelatya Clairgun Light Bowgun Tonitrus Clairblade Long Sword","","","","Rarity 7","99","14,400 z","144,000 z"
"","Rey Dau Certificate S","A Guild certificate awarded to those who have hunted a Rey Dau.…","","","","","Dear Lutemis II Charge Blade Dragonmaiden Axe II Switch Axe Princess Panoply II Gunlance Princess Rapier II Sword and Shield Princess Regalia II Insect Glaive Queen Blaster II Bow Queen's Longfire II Heavy Bowgun Rey Astrapi III Charge Blade Rey Halilintar III Insect Glaive Rey Indra III Lance Rey Kuara III Sword and Shield Rey Perkonis III Bow Rey Perun III Hunting Horn Rey Sandbraces α Arms Rey Sandbraces β Arms Rey Sandhelm α Head Rey Sandhelm β Head Rey Sandmail α Chest Rey Sandmail β Chest Rey Szelatya III Light Bowgun Rey Tonitrus III Long Sword Valkyrie Blade II Great Sword Valkyrie Chordmaker II Hunting Horn Valkyrie Fire II Light Bowgun Wyvern Blade ""Verde"" II Long Sword","Dear Lutemis II Charge Blade Dragonmaiden Axe II Switch Axe Felyne Dau Armor α Body Felyne Dau Helm α Head Felyne Dau Naginata α Weapons Princess Panoply II Gunlance Princess Rapier II Sword and Shield Princess Regalia II Insect Glaive Queen Blaster II Bow Queen's Longfire II Heavy Bowgun Rey Astrapi III Charge Blade Rey Halilintar III Insect Glaive Rey Indra III Lance Rey Kuara III Sword and Shield Rey Perkonis III Bow Rey Perun III Hunting Horn Rey Szelatya III Light Bowgun Rey Tonitrus III Long Sword Valkyrie Blade II Great Sword Valkyrie Chordmaker II Hunting Horn Valkyrie Fire II Light Bowgun Wyvern Blade ""Verde"" II Long Sword","","","Rarity 6","99","2,400 z","24,000 z"
